,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glcm_Correlation,0.7624560975849833,0.2984337003773356,1.3532438092792993,0.010525117077807707,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.2288026587811629,0.6901000034108336,-1.5927016231849713,0.009525951986815493,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.2288026587811629,0.6901000034108336,-1.5927016231849713,0.009525951986815493,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.7711973412188655,0.3098999965891835,1.3152973386932552,0.009525951986811903,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.7711973412188655,0.3098999965891835,1.3152973386932552,0.009525951986811903,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.7711973412187945,0.3098999965890471,1.3152973386937572,0.009525951986800736,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.7711973412188513,0.30989999658920625,1.3152973386931226,0.009525951986825173,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.2288026587811629,0.6901000034108336,-1.5927016231849713,0.009525951986815493,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.7539895112826684,0.28736726278652325,1.3916487367058492,0.011899546639731022,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.7528909104220176,0.2858067470566539,1.3974008671746023,0.011988524516970673,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.21078431372549744,0.6627450980392325,-1.6526865866927112,0.011894861828686914,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.7694491410350324,0.2812119362988767,1.4521681383802567,0.012769238510416269,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.21408725664178263,0.664873189774869,-1.634880280770686,0.012204511943478609,0.07759768017868349,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1324912313837654,0.6250714711086018,-2.238124276460845,0.015273997992832078,0.08618898867383816,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.8156159868150077,0.4042027194066861,1.0128110258108354,0.04792110019016817,0.23661043218895533,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.8186579424308791,0.3532374963417245,1.2126222865761058,0.045778716051184644,0.23661043218895533,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.3609358740123305,0.7862189314488504,-1.1231885607835865,0.05691641479893157,0.26449392759503493,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.6755291222713611,0.3156297660218971,1.0977846982570383,0.07903559075630286,0.346878426097107,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.31584589158854826,0.6667908370285858,-1.0780134728185704,0.08944471848128424,0.3719017242116555,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.289415240001194,0.6202364320749922,-1.099677377747057,0.14374087177160805,0.5660592794154721,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.6417109930035689,0.36912419805050545,0.7978173809115988,0.15047145402183434,0.5660592794154721,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.6620344526165542,0.32128528014577923,1.0430514130941475,0.22959928140718774,0.8244701468712651,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.6747173575703842,0.38627798714254097,0.8046438117176026,0.2972607060272642,0.9784831573397446,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.33426157262916334,0.5365795242508853,-0.6828144933278982,0.2928850190732381,0.9784831573397446,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.7658640813930242,0.5498058893711458,0.4781660177530895,0.3114810005117004,0.9842799616169733,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.5264144071259746,0.5424705623105801,-0.043345876555705126,0.9453333751955901,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.5308037375246748,0.49256414184341396,0.10786692416509056,0.8822574905507784,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.44186046511628696,0.5581395348837248,-0.337034987277555,0.6114339751451219,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5069741705121995,0.5701697604977966,-0.16947928038766324,0.793935719976214,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.28493509801532113,0.48917152242090367,-0.7797070761503987,0.3400120239698418,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.5581395348837095,0.44186046511627525,0.3370349872775536,0.6114339751451319,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.7715384615387393,0.7046153846155903,0.13090210251533507,0.7823674276503755,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.44013983247914723,0.4011370061624412,0.13386687547603573,0.8641669809180496,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.22846153846182915,0.29538461538486444,-0.3706433799197712,0.7823674276505849,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4247673886673198,0.5450650901934992,-0.35975551479727613,0.5991894124258735,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.5037281555430777,0.40041251798404576,0.3311582942604599,0.6594619240265964,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.22846153846171546,0.2953846153846825,-0.37064337991960056,0.7823674276508743,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.38412144427644934,0.5075014287493467,-0.40184937668261494,0.644044353490598,0.985852653299001,l_amygdala,male_P45_nrxn,male_P45_control
