,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glcm_SumAverage,0.7587960832079297,0.3680403601287878,1.043848247670653,0.09936479781587625,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.7587960832079297,0.368040360128785,1.043848247670664,0.09936479781587527,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.21166588123753627,0.5478098108799301,-1.3718863661444112,0.1032817991173263,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterShade,0.21978139430018032,0.6123976817089373,-1.4783995619727786,0.09900384191048606,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.7871893610295313,0.39939274351443926,0.9789026016035964,0.13251547276217118,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.20374873393269244,0.591882028631393,-1.538518558107028,0.12989836998908624,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.19452019944015042,0.5829307394898364,-1.583404504925995,0.12742709535843272,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.778276422345674,0.390873250696005,0.993581794200271,0.13526499331899505,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Median,0.8603244393614101,0.475272442433751,0.8561260684464002,0.09738509842249486,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.7655049609486699,0.3414333928754495,1.1648075635623838,0.08539497895006667,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.20833333333333215,0.5962962962962962,-1.5171356868975878,0.13119728871593186,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.7916666666666679,0.40370370370370523,0.9715962849963307,0.13119728871593248,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7686178399201555,0.36928989170685184,1.057512689021686,0.09631230780355494,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Mean,0.4746389382400519,0.8273261151386251,-0.8016256619409299,0.0637320079174378,0.7632810337286149,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.5545977011493619,0.27290640394098775,1.0230353874420033,0.35215969753768894,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.1815027764962176,0.3164040879573385,-0.801776621947029,0.5783283858773778,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.647246766584697,0.3973562258106,0.7038829040781962,0.25801765006558874,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.5628415088090151,0.7359288631063464,-0.3868375888503953,0.5096978222554935,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.5748267296634975,0.6915527664646206,-0.2667121860414425,0.633385504956352,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.38061980184786814,0.4941855074962547,-0.37670208259209675,0.6693085264529034,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.27318912236652837,0.474712619514807,-0.7971543614813174,0.4095111251770952,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.48546018124638124,0.37041107332139517,0.390225738605358,0.6755915618734425,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.5731938337573954,0.7322782764171819,-0.3533689082325769,0.5210512865544847,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.571153846153841,0.6887179487179409,-0.2700338730181547,0.6296982477122273,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.4799930725273267,0.6973915919488206,-0.5389553861012194,0.4034642689270001,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.5950445663625858,0.308162962568823,0.9493042464076339,0.20883553056007081,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.5545977011494188,0.2729064039408513,1.0230353874428724,0.35215969753729637,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.2623891276701926,0.500875710307304,-0.9327447087617022,0.30281831197293346,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.3653515834433825,0.5267746576734623,-0.5279004813677393,0.49868279007286,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.41770882491741324,0.314031775994966,0.41158707481284496,0.6558426116507393,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaEmphasis,0.5545307584207393,0.27275079233694444,1.0236840976945443,0.35202810786332506,0.7965930356418203,l_amygdala,male_P45_nrxn,male_P45_control
