,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.42103128989798827,0.6824478329800986,-0.6967913147031568,0.24705138760695547,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.5459850760503907,0.25759977746915075,1.083730169912312,0.221915262998761,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.45205479452054753,0.7534246575342461,-0.7369655941662068,0.1854147769722027,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.4475133903439392,0.7365450580206548,-0.7188429337338409,0.1914655992256581,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.4408028149035219,0.7495630587518527,-0.765916416603617,0.17438219254048995,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.5253936466865117,0.2140957349985264,1.2951426987329582,0.1793070705586866,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.2562258619945205,0.5932865983625938,-1.211313093867926,0.3599971582408657,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.4457064405735913,0.6742941973357329,-0.5972843741340927,0.31458352864239714,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.6747100291000463,0.33456849649555576,1.0119660013643597,0.2562199461708773,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.7433976129942933,0.40242100146783893,0.8854284576064373,0.360688238850877,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.49263307136898193,0.1922490068389898,1.3575373366496555,0.286540036129088,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6856251184041214,0.3560972718321626,0.9451485818376911,0.3073305510734695,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.46955579767918243,0.7785569301609879,-0.7295059322388362,0.16298748449329553,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.526245122304406,0.2479548275622058,1.0856576418847643,0.24893459714905689,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.7424489779113499,0.40848275594170297,0.8620167089525117,0.35641864495094305,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.513638422794984,0.2593740051752308,0.9857192295796375,0.2761025413341857,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.24578769695771047,0.5820837534783364,-1.243814048529999,0.3465176821168348,0.5038184923631297,l_amygdala,male_P45_nrxn,male_P45_control
