,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glszm_LargeAreaHighGrayLevelEmphasis,0.8020010443989529,0.18123953294941725,2.145706437245599,0.003073096979685162,0.27043253421229424,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.2650182226745242,0.7323861705125564,-1.4665129863836601,0.011614976745961715,0.377478332882306,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.7915582653537907,0.2958470862925669,1.4198438622786833,0.017158106040104818,0.377478332882306,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_ZoneVariance,0.8054195481169119,0.29975733319667314,1.4259454401226273,0.015086770652863034,0.377478332882306,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.5409118456758432,2.785126748150457e-06,17.567290981939284,0.02714650699666448,0.4777785231412949,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.40330575535475877,0.09882515947773926,2.0289237105099986,0.15137206206274473,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.5490474453142944,0.2463301120462206,1.1563378259931527,0.10712567179131285,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.4697622369274236,0.19821387185520772,1.2448728111451397,0.1680831501738155,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.47556523725554134,0.18970808155092872,1.325862122423806,0.17366801515748734,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.5763092274197363,0.8487307478689852,-0.5584638252134883,0.19055477971407223,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.48349054496765553,0.787270055646262,-0.7033709284196974,0.1927522575629076,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.15151693294773938,0.46376145483459713,-1.613903883774206,0.10889821708917995,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.22217543622768382,0.49951704516826423,-1.168834587552485,0.1795727872318844,0.48463597205014197,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
