,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_Kurtosis,0.21858264668513366,0.7256587079973665,-1.7311123092641025,0.003575066453752,0.157302923965088,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.8063025495307992,0.25855131408120025,1.6408706466169598,0.0031560130278544965,0.157302923965088,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.34072285599857455,0.8702642170233691,-1.3528547496756709,0.00904810533613839,0.226506498431172,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.7087844776113519,0.18713577023223565,1.921261659043282,0.010295749928689635,0.226506498431172,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Range,0.1290494932019673,0.6346419635986777,-2.298018442094126,0.016686763824914335,0.2936870433184923,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.14915548809512735,0.6060805291492273,-2.02269243365993,0.02638752361444739,0.38701701301189506,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.8735417066730662,0.4808095158357588,0.8614111361971435,0.107591453204752,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.475638162812416,0.8854959173413327,-0.8966211810001633,0.04742132425173571,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.5370105962611254,0.9294982802256694,-0.7915016401828439,0.05701195880441583,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.5303794904921535,0.20872107331265538,1.3454487201371093,0.10655325267825382,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.4381816914177872,0.7814007809117122,-0.8345334919743339,0.0765795017297764,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.37414138207125713,0.7491421268620926,-1.0016559073879687,0.04089559172756356,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.7465177352674295,0.41087991770232407,0.8614597167410858,0.08886084575379731,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.142810970119557,0.5412079604633036,-1.9220762544313534,0.08892860539229841,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.7426630095470372,0.38423205778589137,0.9507298295780087,0.08630351287332269,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.7426630095470443,0.38423205778588,0.9507298295780652,0.08630351287330111,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.12097801662201313,0.516186374794362,-2.0931471470121954,0.10789819062504895,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.164173296368185,0.553932915076284,-1.754491782560982,0.08166703030724419,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.1592064076597312,0.5937851133041078,-1.899042522273647,0.04122747670471079,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.15256345538765181,0.5291225823750381,-1.7941925671861132,0.09711392761671009,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.3038565640119237,0.6228088047753844,-1.0353988824316236,0.09375013195421425,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Minimum,0.8428362425249951,0.45527930513614123,0.8885004696544869,0.06138394551235921,0.4315927625001958,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.21638576575704227,0.5579475251734616,-1.3665238440992804,0.13856885767329144,0.5301764989238977,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.2643015625101808,0.5838142230524165,-1.1433244046299325,0.14709406638162717,0.5339623764204424,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.3006455448029885,0.6794300621944094,-1.1762614736669614,0.15673609048638687,0.5339623764204424,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
