,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.4411664571306654,0.07286818896774597,2.5979620636005167,0.06473428976079611,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.47204766498984013,0.22049645386532082,1.0981770891801201,0.2675249771486552,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.3837938949695718,0.22002899815544602,0.8026380901274439,0.48606187911401755,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.5530719858959474,0.38561710989844045,0.5202982031526575,0.43217866954246187,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.39852930508767903,0.7092711467439952,-0.8316514458093809,0.2407033666010414,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.44282089360661836,0.34490177286573964,0.3605377498019467,0.6367590123867752,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.25617456303632635,0.4346416127489919,-0.7626990755239799,0.42426322605586286,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.34441357740400425,0.6221605866508315,-0.8531449867565569,0.21829967827159996,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6168382627341662,0.4965827776561166,0.3128580317627358,0.6473000225971608,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.40969548062810635,0.29993151635964077,0.4499188520321658,0.6428918124039196,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.5056455109067741,0.5917119966544645,-0.2267688253472995,0.713774713951506,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.4624248215389799,0.5103479287280088,-0.1422622977604253,0.8333010475072844,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.4884415265373142,0.5563353812820704,-0.1877689984162841,0.7689543939811324,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.46204705015947595,0.5169893562956162,-0.16209481037113754,0.81122813007498,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.425110178086471,0.4019039787879969,0.08098594080195634,0.9262046675753666,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.3493544853712194,0.6041952337702148,-0.7903231401381429,0.22337794969071822,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.42227555027485986,0.48293911062661243,-0.19365658669605335,0.841636773120878,0.9847574854252722,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
