,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_glcm_JointEnergy,0.7100811626967172,0.14487139080173392,2.2932112152927617,0.0021438845432273307,0.16146876683207445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7474045532579545,0.18632640690681512,2.0040571996266485,0.003669744700728965,0.16146876683207445,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Skewness,0.15952580492551585,0.698651767448698,-2.130783731429146,0.007147919323381385,0.20967230015252064,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.7481258632315949,0.24418170423465052,1.6153258989401742,0.028519090742695326,0.6274199963392971,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.8677825008855837,0.676018420120441,0.36027093650188774,0.3943830114370287,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.8525919108462858,0.6822631936820202,0.32152697871214,0.43516174220454007,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.8730023349860172,0.6793037346944353,0.3619287266853503,0.3793079029271702,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.21801830178547021,0.4446282053640317,-1.0281502211373115,0.255294972397777,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.24860254676715843,0.5964081317677495,-1.2624588523665068,0.3553215093831578,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.23811670627525883,0.5656743877317988,-1.2483030072865982,0.3520949828638319,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.7334154395844368,0.39876591423953167,0.8790885412923594,0.3654380379215782,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.7481389317570111,0.4014489427699865,0.8980896939793167,0.3583026600482909,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7165821076223933,0.38485295074972975,0.8968247124699211,0.33702204216502846,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8290968651979345,0.6193810549827419,0.4207134088278112,0.32554998229331167,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.21036672186566463,0.5202361726664038,-1.3062602139197719,0.12754859504062754,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.7501905672569811,0.40408609749090696,0.8925944062472734,0.3572727693397993,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.7459018392667303,0.40060080974843854,0.8968204468821264,0.35673454474959604,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.2474724131701323,0.589383493974265,-1.2519389468750874,0.35752718489306606,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_10Percentile,0.29330169421061136,0.6330816305468799,-1.1100061304109146,0.17446387695115678,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.6330835995029647,0.3218443028068946,0.9760330910568435,0.19395147642281116,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.19633787209806472,0.5016251754699179,-1.353271271000166,0.23924462668208235,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.46266484200049773,0.25317243095297337,0.869847160383963,0.3204422329738515,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.575268817204301,0.37004608294930863,0.636531325107643,0.42830876926751593,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.7997450053744377,0.4013269805667802,0.9947619279020827,0.08464758655473237,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.2025357373729033,0.4033662268855622,-0.9939138012117033,0.3784502431958663,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.6349489746141046,0.44597943374503757,0.5096634774777634,0.39306662921145835,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.3634173438293615,0.5711824953445046,-0.6523244939250141,0.42608231030248467,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.7484305498596172,0.4029969399665605,0.8930995643858315,0.35862329895181794,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.13770630211766877,0.3272590587881517,-1.2488385418522774,0.3997519506956854,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.735422486376589,0.4033064163133064,0.8666969310919641,0.370880162638021,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2287704349307115,0.5586297121882173,-1.2879916912224914,0.3430937102585957,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.247730138952177,0.5940529829623341,-1.2618222110783874,0.3555686634003429,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceEmphasis,0.7186118832082107,0.3832013051962953,0.907110317479196,0.13601344872349294,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.3562131861154114,0.6656019422352927,-0.901918720921848,0.28535172792301705,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.26985627021200137,0.55527950310559,-1.041022933806453,0.1373122564360996,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.26157420799516556,0.5862289669341021,-1.1642439629276273,0.38039239049443696,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.8495493616540273,0.6495609631218116,0.3872328422316491,0.3617886669306186,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.7540895195350314,0.39628175423951156,0.9282092552866578,0.1035249637667146,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.750190567256981,0.4040860974909067,0.8925944062472742,0.3572727693397995,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.6349489746141614,0.44597943374508303,0.5096634774777454,0.3930666292114223,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.6799551225005973,0.40216959766565824,0.7576355065807155,0.33763143907799337,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Median,0.33350820169561496,0.7216109898742478,-1.1134990696135978,0.03882689076084843,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.7489267723733957,0.4024329048576824,0.8960763918662664,0.35806985481580883,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterProminence,0.42537250489170475,0.8034280068215963,-0.9174419695942051,0.1165061741330342,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.723876612340441,0.3834274925866275,0.9167900200404477,0.17644072797217816,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterTendency,0.23322219755524642,0.48655062099637547,-1.0608848041200016,0.19387374402211224,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Kurtosis,0.16656506389701514,0.5311727259257357,-1.6730952355551665,0.06397994236541918,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.6799478084687777,0.4021844242137437,0.7575668019452189,0.3377213911733889,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.14797269593597684,0.34750934573617887,-1.2317207845137659,0.36297381062253486,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.7465998462693282,0.41589523655948996,0.8441150503536701,0.36790619386822054,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.7141678179712854,0.33188815614009837,1.1055659783752254,0.10292413206265266,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.8201424122726583,0.6070441834435389,0.43407291965175626,0.3084087320352193,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.16415545161371847,0.3960757088855075,-1.2707135615221061,0.29984739745750966,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.7342893168755591,0.4266444425160515,0.7833143549081172,0.38773120477145234,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.6799478084687778,0.4021844242137439,0.7575668019452183,0.3377213911733889,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceEntropy,0.3665087789717383,0.747276668208562,-1.0277947229661444,0.11396730750020163,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.6866359675569577,0.4207265608481885,0.7066625313048572,0.3615621124659988,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.1311968585255272,0.3158200900784408,-1.2673697720179569,0.41674336351509167,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.7601178950658147,0.41351675650990555,0.8782774079794877,0.10611788353446859,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.4032783533406885,0.8235086318832998,-1.0300078034411408,0.04963810917311223,0.627774316622943,l_hippocampus,male_P45_nrxn,male_P45_control
