,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.28975211536770606,0.587871166971154,-1.0206808266485576,0.20919786434547955,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.1734267262315896,0.448228267014872,-1.3699073889110909,0.15909680218462027,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.18808784362065722,0.4764207330820625,-1.3408295899065403,0.1309594024510168,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.3971803875717248,0.7079293762657208,-0.8338110572273293,0.11499686721023954,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.6276812232606994,0.2932990608294167,1.0976596006761676,0.06333721538554508,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.5416961485258085,0.8913985046834838,-0.7185867075940374,0.11580118364113605,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.5679631122581981,0.1624338339134951,1.805945065605555,0.04929149952120557,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.4783929312801369,0.20806039648982458,1.2011936928173443,0.1543716514734517,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.5299137677982184,0.19368887753493597,1.452016500382362,0.10193225108861019,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.549998733855511,0.16227071066589432,1.7610256757991116,0.05872236735656933,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.5376593422926912,0.17032372844216576,1.6584129430712082,0.07445182244494553,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.5344431683904585,0.10704141505514926,2.3198674496082203,0.040431318364579805,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.16196633940941751,0.4544943530610112,-1.4885683527979163,0.1617141754357033,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.6436370179156601,0.39937927762182,0.6884878247277786,0.21046889767646712,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.09560369893496576,0.3609110561422087,-1.916504996713701,0.21619965301311372,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.09943186616216328,0.47340273209996536,-2.2512878428120287,0.12978665984757654,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.31792906144885247,0.6027053678614303,-0.9227480166620156,0.2062328479318818,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.7476387596255654,0.276632691088443,1.4343697070996642,0.021022240971724625,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.6339285714285716,0.30714285714285716,1.045410459689947,0.11034763650358455,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.17378029841014603,0.47921837260724426,-1.4634186881213969,0.15098336957622113,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.5220437737904611,0.8228730271686914,-0.6564990507912679,0.15695620635417984,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.5116462156957207,0.16052873147455388,1.672315050667691,0.0930351344847788,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.660334753367771,0.300582637992183,1.135435896985763,0.1043835755431341,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.8506437768240289,0.5983690987124433,0.5075194297889961,0.21606420438089446,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.625297703410955,0.16879635224950604,1.8892594913204719,0.029243023918047704,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.44768606485133944,0.8194354376801855,-0.8721428735249583,0.07392879780152878,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.5345076314808823,0.17554589434485024,1.6063622913391804,0.08138158584695591,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.7813016867803189,0.4771484741973822,0.7114414696551646,0.1001461870783963,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.7434749450902143,0.40010164353724564,0.8939175696567352,0.1749577345736329,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.7434749450902143,0.40010164353724564,0.8939175696567352,0.17495773457363273,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.7520951421671462,0.43197436404202094,0.7999694817346074,0.2009065508837565,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.7372086352242563,0.4143082359821416,0.8313684701824232,0.19926835472536678,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.5220437737904753,0.8228730271687027,-0.6564990507912485,0.15695620635419105,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.7435713738426348,0.40007345936908967,0.8942063058253275,0.17472540244725157,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.4337056841310625,0.8297303939714276,-0.9359262834588779,0.08760559892755337,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.7655648287232769,0.4385531940019723,0.8037727076548136,0.1823934137945831,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Range,0.5678125509372883,0.23113378563441786,1.2966865797645073,0.09693347496227156,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.47796740797693404,0.14131902762874785,1.757956518269174,0.09641593021910014,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterShade,0.7201453404266366,0.32882242362978004,1.1309794169040905,0.11795412242809976,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.4978871557441804,0.24338436967687915,1.032582277833577,0.22056684101591703,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.5341548198765222,0.2516694476644027,1.0857278685784537,0.16764505095878246,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.698569344265084,0.3524432243138257,0.9870124634762405,0.05374826594657713,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.7693163710726043,0.4234480180935691,0.8613921321262304,0.16406082012767687,0.45139260486978366,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.5632853390697132,0.34503476755634493,0.7071241793502515,0.26628404742337286,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.1940318188126242,0.4282919978892739,-1.1423014665805147,0.2339113329759864,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.13274239439702296,0.37008535784635654,-1.4792288548048727,0.2528417490564895,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.8367832941132454,0.6038901082946317,0.4705680074495618,0.2693140181203405,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.4989074672240167,0.2683628445361298,0.8945873216846029,0.26597639425868624,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Median,0.37781271232148506,0.6744367653112874,-0.8360119383807838,0.23279972140572994,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.36624073095659565,0.13630918160730449,1.4259095039346432,0.2697955031932312,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.7186230178776651,0.4492765801514427,0.677631287224006,0.2485137276858425,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.7852286714449708,0.549887103377354,0.5139774004542835,0.26732018389575124,0.4565770054039297,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.6404560936582391,0.3852182940894894,0.7334234516135756,0.3076571502669657,0.5108269664809997,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.15161951203672297,0.3583865797838917,-1.2410611879181712,0.31870652099879154,0.5193735897758084,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,0.5508263890303351,0.36220266653374156,0.6048005104275769,0.3781918368496239,0.5965892888986316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.08822343975966841,0.2911398268682942,-1.7224782922519437,0.3864271530366136,0.5965892888986316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformity,0.5197251149263533,0.3369493251846193,0.6252171402308425,0.3839083219983767,0.5965892888986316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.62744512122073,0.4477469831867385,0.4868055691820452,0.42368661856470846,0.6428348695464543,l_hippocampus,male_P45_nrxn,male_P45_control
