,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.4093164570341159,0.917599766482519,-1.1646483510626515,0.032457949546685703,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.6041284908672839,0.10139841934055269,2.574820263157412,0.03285435817896749,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.5877634729639811,0.08637268770006017,2.7665886158635016,0.02709135847167823,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.5706237153748133,0.1235907640963628,2.206968772142827,0.053266538326912576,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.265949823978207,0.6633294640627586,-1.3185715274730485,0.05698719875674164,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.6685221781575619,0.2499790379176204,1.419168300132312,0.06543045939265277,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.3017343277292568,0.7613620133792566,-1.3353037529004204,0.022909841018038776,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.2944611252019058,0.7506661730827944,-1.3500942911423164,0.02818659946559561,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.5454582335592995,0.09693491936396867,2.492380357927223,0.046951432076534995,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.597028307268169,0.10853799381990754,2.459599188748595,0.022377778298689494,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.6757013116602266,0.21616953114752208,1.6442224645010135,0.0196318061299946,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.6119168352254953,0.15756803262764052,1.9573607207575388,0.024872702656781823,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterProminence,0.5422125057718755,0.11952240372622622,2.181577320657473,0.06585516393919441,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.7180917753259788,0.2654964894684042,1.4354754535840084,0.0383377811551606,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.5887258594028184,0.06163073395685288,3.255874121196115,0.016563010025320252,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.3022274482036025,0.7825276601901578,-1.3725070566576993,0.03431112830113381,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.6602513318184556,0.17191257557505152,1.9413402232649062,0.04431880626393979,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.19820006067997564,0.6200806458892808,-1.6454984562192252,0.05749450470806346,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.6601914704555287,0.17193938359288663,1.9409844600169934,0.04433194249621396,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.5986363762055689,0.122662234573054,2.286988808703906,0.03713066580932181,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.7376991176015503,0.34050265987411343,1.115366441924269,0.05197954416083452,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.27210899589399373,0.7021112355356504,-1.3675149622029241,0.05878325150658932,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.5938429511124061,0.12573477159672883,2.23969776528557,0.03560741580801914,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7268345229298301,0.27796413917212226,1.3867281764525976,0.051331113043864986,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.6601914704555287,0.1719393835928867,1.9409844600169928,0.0443319424962141,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.3022274482036025,0.7825276601901606,-1.3725070566577044,0.03431112830113393,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.5993960823018321,0.2420222271732512,1.3083701045040999,0.0640168170118576,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.6359455280144175,0.23535948615053784,1.4340371946564752,0.05701165195331835,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7429460881832675,0.3422404617247392,1.1182471915338188,0.06053902026318945,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.6730736919349217,0.1895564014402745,1.8281372898787782,0.0461509323957275,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.6941824422475964,0.2002203551993614,1.793726224208339,0.019761421406295547,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.2739199233143026,0.7332632674989746,-1.4205770670549822,0.005939227793669489,0.18110170083278462,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.625907570226794,0.1723307064179565,1.8607698371654346,0.07554911233322596,0.19622041082564587,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.3817724556056866,0.7904487242542758,-1.0499588613068853,0.07581243145536318,0.19622041082564587,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.6167443297584458,0.20163550807716338,1.6129228264293043,0.07925350534999273,0.19926595630855315,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.5990962010042891,0.198477746560323,1.5938104244640048,0.10875280178859545,0.24438179343461797,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.2869008409497821,0.6919763447722674,-1.2701705232705562,0.1110826333793718,0.24438179343461797,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.7394943144466033,0.35880023049771304,1.043358238238415,0.10670495216270418,0.24438179343461797,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.7591384702163255,0.32478912913128327,1.22485971805972,0.10085838639990692,0.24438179343461797,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.3368916024770526,0.6301133934208265,-0.903327007693691,0.1084549136001957,0.24438179343461797,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.14452588949775197,0.496545933048294,-1.7805992290453028,0.13526417060293178,0.29032309787946337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.5435570819428461,0.8142716233722485,-0.5830785779730122,0.2093349907728568,0.4386066473336047,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.8319843342176324,0.5614915602940869,0.5672920256822956,0.24726932915792657,0.5060395573464543,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Correlation,0.32073437774401126,0.5626978198957986,-0.8109813772905539,0.3383458126618185,0.676691625323637,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.5833333333333331,0.37142857142857133,0.6512357201403222,0.3588953538105012,0.7018398030072024,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.5319616619632841,0.7206726412210813,-0.4380218019516625,0.37231133300668967,0.7122477674910586,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.6555795417307397,0.8275510086069545,-0.33607740568940975,0.43940847079470746,0.8216685957808377,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.6144056770143731,0.7805121453241342,-0.34522953533691253,0.44818287042591143,0.8216685957808377,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.31641126099147543,0.45711437560051005,-0.5307542445217177,0.5097899177640934,0.8524664973639243,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.36682033631008254,0.5225237813247714,-0.5104230758988177,0.5134173222759999,0.8524664973639243,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.37812804381883647,0.22840729089664613,0.7272661474694199,0.49701082861848145,0.8524664973639243,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.4849637930330195,0.6545028947321866,-0.4325225319419597,0.49358647234897923,0.8524664973639243,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.4547616968826853,0.6112608522352229,-0.42667742791073027,0.49846320518205245,0.8524664973639243,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.3635324077777949,0.5132928637801105,-0.4976982215228696,0.5300831116343061,0.8638391448855358,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.3657120701275418,0.5311698933495759,-0.5384651343793083,0.555618833623577,0.864899686089418,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.5641499965298351,0.4094356444629511,0.46244209290476723,0.560219114853373,0.864899686089418,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.5641499965298369,0.4094356444629533,0.4624420929047642,0.5602191148533731,0.864899686089418,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.27729067340823205,0.404929430026006,-0.5462714084655942,0.5893083234644576,0.8843061198541788,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5962697973072029,0.4647746856578479,0.359433768881323,0.5928870576295062,0.8843061198541788,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaEmphasis,0.5688544644826455,0.5059484397356999,0.16906923112658157,0.7800100941526237,0.9996894046300149,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.413551874675516,0.3615346019584564,0.1939345759186645,0.8452797976105205,0.9996894046300149,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.45855949989853495,0.4776798767257933,-0.058935160190679424,0.9402131881120804,0.9996894046300149,l_hippocampus,male_P45_nrxn,male_P45_control
