,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_gldm_LargeDependenceEmphasis,0.17571374906085602,0.4989782118707744,-1.505749738732545,0.15273344265382102,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Contrast,0.8109960018665987,0.5174078514082154,0.6483928557379149,0.1841221193051191,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.1853583174956859,0.48716834641157636,-1.3941035437185703,0.17667067419534796,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.8109960018665987,0.5174078514082154,0.6483928557379149,0.1841221193051191,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.21884387443318776,0.6001540161309492,-1.455430781040237,0.1002220295553948,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.31474356721703955,0.6215093157510353,-0.9815991236777124,0.1924552045309156,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.1890039981333942,0.4825921485917831,-1.3523876910869927,0.18412211930511643,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.1890039981333942,0.4825921485917831,-1.3523876910869927,0.18412211930511643,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.18900399813337287,0.48259214859177746,-1.3523876910871384,0.18412211930508252,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.18900399813337287,0.4825921485917661,-1.3523876910871047,0.18412211930510838,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.8937963174757897,0.4307687787655595,1.0530324106028848,0.0953613094842945,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.718472823025128,0.3359163617841553,1.096831518343101,0.07397376645142009,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.8109960018665987,0.5174078514082154,0.6483928557379149,0.1841221193051191,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.10620368252443768,0.5692312212344405,-2.4221810018135095,0.09536130948457613,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.6008949952314673,0.29488722189474287,1.0269495972836358,0.17351807124316732,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.39949831381977674,0.6981213370386967,-0.8052883920437892,0.18938887644966576,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.7178305941288952,0.340607142404645,1.0755347243966094,0.07854594301825103,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.5161904600999678,0.22528445883300846,1.1961556855066882,0.13005995467819345,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterTendency,0.18155205659973106,0.4920841424530593,-1.4385217530667713,0.16967030210195908,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8186688968257698,0.5153379479407292,0.6677612528280096,0.17164709248183277,0.38984515789595725,r_amygdala,male_P45_nrxn,male_P45_control
