,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.4276594983350587,0.6767279445772412,-0.6621133812745863,0.33650617808289596,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.7114197530864197,0.3055555555555556,1.219266320349728,0.07574839164942711,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.27530842185780746,0.39235791641266465,-0.5111215654853855,0.7321114461221178,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.7061626852545431,0.5777399570951375,0.28958031242445875,0.7113802960336506,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.7354190816473667,0.46809956385472606,0.6517511892629708,0.19140121298181545,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.5376246168987424,0.44602409673124227,0.2694775433782816,0.7017679567393318,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.6705524463416221,0.4171783648488443,0.684685834299761,0.32140562940363976,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.25977363464222564,0.4032692245231456,-0.6344882968003847,0.692127676564001,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.24665457880929603,0.3916170589518697,-0.6669515412549382,0.6566669367034449,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.6932591321492441,0.4994426943809634,0.4730755617494885,0.5464732497027474,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.6797831753386046,0.532699160369487,0.351753648608423,0.49241670382557057,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.7338057820312653,0.5855937656116825,0.32549807797843794,0.6799141067706753,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.45363165185999366,0.19366089487055688,1.2279886409093705,0.3041092373448314,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6981873316529681,0.5727475958906887,0.2857146821412171,0.7132764466666608,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.3296740684460069,0.4819705964524502,-0.5479047230002814,0.5644240881847418,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.45610643869632206,0.22717650441408138,1.0055569036264596,0.38190871844880653,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.33961063909473493,0.6962241434089731,-1.035670188802504,0.21901552070676683,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.14389886479155758,0.4332746373411484,-1.5902265770381836,0.29578802193214165,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.26585335115859915,0.4587824171371562,-0.7871794489170076,0.5667059114723592,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.48303571428571423,0.23849999999999993,1.0181405955384246,0.31797073648528457,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.6879007129295309,0.4227926892583181,0.702249920326934,0.26813472310291864,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.25147563166367265,0.4015537876490212,-0.6751746402995549,0.6789524292533322,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2415553917163627,0.39824097555129756,-0.7212876142575604,0.6431855796388919,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.690193475667398,0.5215340911610759,0.4042392755896053,0.6071508861333106,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.730445566480645,0.5786872176454956,0.33599298855027654,0.6694547999684632,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.4573450248128541,0.22490116914795094,1.023991795944177,0.3643714139253008,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.49213886250922556,0.6245225282262197,-0.34368816908617694,0.6185286694366823,0.9474383420403877,r_amygdala,male_P45_nrxn,male_P45_control
