,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.4228680733422795,0.7028521560537712,-0.7330136117714708,0.1277526504984697,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.09045411893156724,0.394853376113988,-2.1260589216677737,0.1906494461915465,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.9129382681946199,0.6150126297501217,0.5699012725847483,0.2016695364300922,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.11306556515485333,0.4603946741078488,-2.025711530156711,0.13841196883197726,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.8815083917025452,0.5839274534785887,0.5941851622945483,0.1952331030248155,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.08706173180535615,0.38628954222452305,-2.1495719977442427,0.1988365651385929,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.08706173180535615,0.38576867343466004,-2.147625370096595,0.19996534813384015,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.0,0.3268998100752369,-inf,0.20897587525159772,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.9129382681946199,0.6115944283166499,0.5779420465064106,0.1943114891759003,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Contrast,0.9129382681946199,0.6189191456740908,0.560766359143715,0.2103875462929971,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,1.0000000000000004,0.6217821782178221,0.6855188287475299,0.1940897909976438,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.15550618338612843,0.4489108985250979,-1.5294571746777343,0.20466880517645009,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.9085331954606293,0.6080389355140845,0.5793755187908397,0.1944096468977551,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.0,0.31999999999999995,-inf,0.21284534129045513,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.08663546653202614,0.3763228972560551,-2.1189414158653643,0.2024345966851076,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.8705879167951629,0.5738167917057992,0.6013998100047273,0.17125143766598114,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.09075611898623848,0.3719541664112276,-2.0350580366688953,0.2091469493833791,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.0846745162998932,0.4069144789481044,-2.264725870202658,0.16181882394438604,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.886934670961018,0.5987611872811968,0.5668471372213173,0.21972203438472382,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.9979639157817497,0.6878684367965598,0.5368549934299294,0.21952954611511533,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.09426370508039383,0.4097340509754687,-2.1199134996626694,0.17181101016380398,0.5078739208345399,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
