,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_RunPercentage,0.7306737588652492,0.27737588652482115,1.3973850224349265,0.022164809019959052,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.5825059571290785,0.19018343273907234,1.6148812282813505,0.03932258625000698,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.32714462680069456,0.7327232576098541,-1.1633398341667058,0.04086364875779334,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.7425366365691186,0.2662214037504988,1.4798356437230689,0.01740903740947219,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.7200215964998957,0.22297557868222667,1.6911544715865805,0.011837716326935182,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.9560253517002213,0.40383812682080417,1.2432717522354095,0.02754770993298746,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.6868936354206774,0.24384397977399744,1.4941283625610988,0.014835236647002483,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.29008685295633896,0.6958394112947331,-1.2622694807940016,0.04859426001394207,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.32940225609784335,0.7592562948441582,-1.2047365283304137,0.025475166210497474,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.9008988922558561,0.42502988607403863,1.0838009134312023,0.04263073022476224,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.15947125476418922,0.6359385265033486,-1.995590916262409,0.045699511566609494,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.36181826978942055,0.7777612847731973,-1.1040621646183497,0.02929866218936312,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.22889790662508203,0.7003355070409206,-1.613341965178783,0.020673309656902564,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.900898892255857,0.4250298860740376,1.0838009134312072,0.04263073022476178,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.10601334298239454,0.6381841097520706,-2.5897268314096475,0.018076531083677506,0.28508632541512685,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.49684450249039525,0.8498554595739906,-0.7744230917044524,0.06586875722121836,0.3050763492351166,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.6325752612018214,0.2599746534265163,1.2828661632940705,0.06406920066554825,0.3050763492351166,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.31103219841709984,0.7217116639722463,-1.2143586335608225,0.06103577322420658,0.3050763492351166,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.6527661174813928,0.272386033933378,1.2609134407837455,0.055764390149525896,0.3050763492351166,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.45861629320659025,0.11886145501988317,1.9480066636384914,0.08998207465252282,0.39592112847110045,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.6306141596637286,0.30023677520684255,1.070656864650183,0.09961916276266007,0.4174517296720993,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.5948950058403701,0.899164862496091,-0.595950592245824,0.14581328529868373,0.43794123823114056,r_hippocampus,male_P45_nrxn,male_P45_control
