,binWidth_0_25_ODI_male_P45_nrxn,binWidth_0_25_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.49570195845501475,0.8904329970982323,-0.8450340974203748,0.08451051678872963,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.7013927805338372,0.31498933300765825,1.1549196078164767,0.03424192819864036,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.455099086176856,0.8703474077715768,-0.9354106924829793,0.05306157639374787,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.5021674037323849,0.14770970866368457,1.7654037299647318,0.07706946086998318,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.712281065427911,0.2556604332164769,1.4782177376278727,0.014164646814975338,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.51478591624912,0.15449912138275437,1.7363739504550961,0.0643477659231334,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.4919735182241267,0.14433949837693377,1.769114514691199,0.07925545519644252,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.49657126519105843,0.1716567069296932,1.5324745532798905,0.09087168819481035,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.6028365983592973,0.17333481491490457,1.7982055519282512,0.05515585636873483,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.3717251162093662,0.7598951586077934,-1.0315642166812349,0.09500725491492937,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.7183457015165167,0.1136882938813647,2.659594591228221,0.01013884767463182,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.729106207314396,0.29510355232864427,1.3049076966948032,0.0719216160507108,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.5833838713788804,0.20596296100578954,1.5020605849171387,0.045888231306583344,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.5340909090909091,0.14090909090909082,1.9223206361781253,0.08864366484446791,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.3756529270546838,0.7658769078810944,-1.0277121964519478,0.09258124471379948,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.6040146621411671,0.10835220959292399,2.4788549964827213,0.011795985128725088,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.3438088413006226,0.7479210578085042,-1.121279358105702,0.07087633101610702,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.34380884130061995,0.7479210578085024,-1.1212793581057097,0.07087633101610652,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.6442321510291289,0.2575001112939006,1.32300760576799,0.058732800152103616,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.4977078107365873,0.9084182994484984,-0.8680577404071183,0.04750283071245327,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.48923179891199675,0.13817746983625295,1.8239957786265126,0.0725881967354645,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.571579487604103,0.11641974716019314,2.2956183535915606,0.030173984994789894,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.25137313733538946,0.6868305579780278,-1.4501237418731492,0.017906087012631054,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.5157751848599149,0.1644217497411879,1.6493412117683814,0.08354401543722774,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.4942135432117678,0.8190982776083245,-0.7289020144798402,0.0873643762001054,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.26493572214374495,0.6530098809806469,-1.3014624419120588,0.020676420014581528,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.5444612910885743,0.14954313612942266,1.864267789217061,0.050088804798662165,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.6342227403223163,0.2358094866877674,1.4273678472569253,0.07780867227210446,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.47032037620034844,0.14400732839844504,1.7075016060547379,0.09624711409347846,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.5163262789107343,0.1280173771550845,2.0119433714840427,0.05697327090467133,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.6675595782095969,0.2923874589408015,1.191015167215539,0.03341519812970018,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.5158915294169126,0.12713720618582347,2.020681467664638,0.05683565284884274,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.4977078107365891,0.9084182994484991,-0.8680577404071141,0.047502830712454085,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.5354646686740471,0.09762346265662662,2.4554915559722033,0.05597229681045439,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.5160748907238477,0.15382617826543044,1.7462793957530958,0.061036874304514266,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.5163262789107343,0.1280173771550843,2.011943371484045,0.05697327090467123,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.5067091245617545,0.17602862719463985,1.525347737774844,0.08110849437158849,0.22891205514124605,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.5281100875696441,0.19169168213261029,1.4620509618927757,0.10019205760406615,0.23202371234625843,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.5011762648251099,0.1503720487661723,1.7367816687354818,0.10519308372255462,0.2323111143628741,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.6084701059384057,0.26766962870393674,1.1847329332489807,0.11087575912773537,0.2323111143628741,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5198154665420212,0.23264903331349807,1.1598443677403871,0.1093848878739742,0.2323111143628741,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.6102326948484675,0.2795455137377935,1.1262762860467852,0.10932402959299072,0.2323111143628741,r_hippocampus,male_P45_nrxn,male_P45_control
