,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.7688945526081712,0.40627938309801026,0.9203136023544554,0.09540420996263559,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.25,0.0,inf,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.24999999999999997,0.0,inf,0.2923519924402384,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.5921142209994539,0.4652126503380565,0.34798517588878086,0.577633721315688,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.42197452229299515,0.5855626326963943,-0.4726675964549042,0.5607988508378248,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.3927420009401219,0.5808216692569765,-0.5645133861683562,0.4942327936394616,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.5575007258700779,0.4050026858315931,0.4610422079721663,0.5718905801258458,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.46839279642554343,0.6119544284648448,-0.3857053327900127,0.4937894549158429,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.5983777681050526,0.4447071340369234,0.4282010261554852,0.4819645812416117,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.5584479214322187,0.7088814539488795,-0.3441216389935511,0.527335528392027,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.42487465871587204,0.586794599212908,-0.46581829476979786,0.567949964772034,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.6517870569648849,0.8445633906015416,-0.3738050081463276,0.3707286765344821,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.6618312403201241,0.43448458848036325,0.6071583881862531,0.37875233195145186,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.40162223189495094,0.5552928659630851,-0.46740972902421446,0.48196458124159935,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.7451301889286519,0.9911292819220258,-0.41158073854505745,0.2966511595090973,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.7026887503674742,0.9163262963666956,-0.3829756197721186,0.3359034566794756,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.7188259954189078,0.977524671802352,-0.44349053213949147,0.2606461674858644,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.6045454545454554,0.7854545454545458,-0.3776769717749153,0.3901448913085167,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.7078853323446395,0.481585614533769,0.555723384615169,0.29807057428332595,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.576423873495663,0.4263224181360208,0.43518516690067155,0.5767421637186461,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.3954545454545446,0.2145454545454541,0.8822285413742493,0.39014489130851665,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.6469038208168385,0.8465876152832379,-0.38810814986136133,0.3529835882420097,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.3530961791831331,0.15341238471673363,1.2026462561097104,0.35298358824202597,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.2560654717243782,0.0032621871943953927,6.2945293497992,0.28389506447377255,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.24999999999999994,0.0,inf,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.24999999999999994,0.0,inf,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.2500000189541667,1.2583202170665495e-08,24.24392576280637,0.29235196988868667,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.2500000616072876,1.0728467116606949e-07,21.152053061183462,0.2923520371231773,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaEmphasis,0.2500000064137826,3.4288113800931705e-09,26.11964434761436,0.29235198333557005,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.25,0.0,inf,0.29235199244023835,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.38400552789848774,0.2111111089350004,0.8631245820827953,0.41451764713481964,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.25752644121940704,0.5059935099782409,-0.9743983137178971,0.20700239463480521,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.44155207856755396,0.291118546051257,0.6009768546383788,0.5273355283931116,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.2996205183720946,0.5003208622936327,-0.7397171861709096,0.44013782226713594,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.7034685633305386,0.4952050391912735,0.5064599581630388,0.41888011721638396,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.07575301281440282,0.38603325925445986,-2.349349977277711,0.14282017486457863,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.35309617918311886,0.1534123847167166,1.2026462561098126,0.3529835882420229,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.07576260579097384,0.38612435989570504,-2.3495077171500776,0.14270940668678755,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Skewness,0.82766763498125,0.5237413380624047,0.6601970646534635,0.1535208403389443,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.13587221821532822,0.46356829056318194,-1.7705313866412613,0.11568339459412345,0.7261681067968649,l_amygdala,male_P45_nrxn,male_P45_control
