,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glszm_LargeAreaEmphasis,0.6664326771612673,0.3508763891143161,0.9254962716771072,0.09966156871787726,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.13064516129032255,0.5004608294930876,-1.9376034628621333,0.10065448483417269,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.2617643200795525,0.7169548107477919,-1.4536137261548732,0.04896392596744497,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.2366730604941898,0.8092103329562239,-1.7736192425853332,0.0143854790548012,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.708231685028057,0.38819718469087333,0.8674317335053878,0.08981177732235368,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.7092726690929823,0.39852237178259886,0.8316796414569553,0.107239760766842,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.29332590641631096,0.630535864641877,-1.1040739379168105,0.06532131670839189,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.1381627790956767,0.5474886670885599,-1.9864600939351713,0.029857963573606885,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.3010446305566181,0.7233684496108266,-1.2647532891889606,0.030980267067799903,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.07689552635023089,0.44945852822841187,-2.547216431441458,0.10473753576435306,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.11258761411851798,0.5540253145067322,-2.2989037736022175,0.03897894530483531,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.2626432784204129,0.581092966008775,-1.1456643278467267,0.103019332184387,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.7594117647058825,0.40428571428571425,0.9095071232825733,0.09306393619811137,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.16699346405228757,0.6204945978391356,-1.893627011748671,0.047125934961431255,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.6937037037037036,0.23836734693877554,1.5411329673147676,0.02670654121626276,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.21871041093300267,0.6715568324281016,-1.6184876006372506,0.06400273481713133,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.10034879971682772,0.5422007348738044,-2.4338037079714665,0.03391749657125467,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.21365421823521105,0.7385508432982011,-1.7894194415504094,0.059342064354645584,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Range,0.29866974296687165,0.6214462408646064,-1.057078502779805,0.09737446601901384,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.29091583841409596,0.7555198346471197,-1.3768677872966906,0.007558600661100233,0.47185494737410477,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.1428571428571429,0.4571428571428572,-1.6780719051126374,0.12497678418833198,0.5237122385034864,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.2901560348783856,0.585681505277651,-1.0132874021312241,0.1382155032655873,0.5288245342335514,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.30012840192286583,0.5870833622727016,-0.9679855204764471,0.136422918092824,0.5288245342335514,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.34733509766626736,0.65223777807198,-0.9090698052656976,0.18937447129501922,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.6340014284641231,0.3242207533923501,0.9675096500760322,0.18009066098949722,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.2090867631789024,0.45765077825971384,-1.1301454030378062,0.18889739286634705,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.730514779143142,0.4376565924941881,0.7391141584937712,0.16354946144771484,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.38331804997752816,0.6292118598481056,-0.7150039295069524,0.18892092586261047,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.26184906864620494,0.5165072555000172,-0.9800531417434274,0.16689178910552244,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.7245633966311282,0.45790618154291013,0.6620598848868225,0.15490246597845966,0.5554984491320564,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.28647688820326955,0.5585690174374476,-0.9633167999240264,0.21079017048957915,0.598372096873644,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.09788899731438971,0.33730770972978963,-1.784846678245094,0.2532657334142624,0.6964807668892216,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.03352171680060134,0.2554814459383453,-2.9300505777511496,0.3344746857784301,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.6280894936498851,0.4168472106441879,0.5914514554778959,0.3307425089615765,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.6567727001194743,0.4195340501792114,0.6466062529924531,0.3196927835328361,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.6805178375064596,0.4463093192369686,0.60858904632459,0.33076828219648347,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.9637105780252893,0.743353641949912,0.37455122105058986,0.33802823440234203,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.2187950508330091,0.43774303945042653,-1.0005041339691405,0.29371898421849774,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.21879505083300976,0.437743039450427,-1.0005041339691376,0.2937189842184983,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.6752737509655629,0.4626444527077947,0.5455685861269396,0.3247804049774573,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.036945964614064186,0.2668132451098826,-2.852341585217808,0.31272262478981344,0.7255240153025878,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.6844744391190578,0.5062805878542054,0.43505949822589707,0.41664542318891307,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.057579156876879756,0.2502888355253969,-2.1199753700855912,0.40435778560772206,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.027096366977554687,0.23247871937053466,-3.1009273246742164,0.3791927872798112,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.17621646422195977,0.39563179212644906,-1.1668096384952622,0.40584554023408415,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.9568350112322173,0.7679390964306517,0.3172782811806323,0.4180786538722534,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.027738956876695697,0.23778555561930864,-3.0996756393897686,0.3668462982959766,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterProminence,0.031378679087650116,0.2253287602489677,-2.844174939135049,0.4088489308440034,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.13124999999999998,0.3166666666666667,-1.2706475899436693,0.42521494820645855,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Minimum,0.6942214464509776,0.5014729640057876,0.4692240120786876,0.4243210831391422,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.9568350112322164,0.7679390964306524,0.3172782811806297,0.4180786538722573,0.7337042243562422,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6927632549616981,0.47696978476285185,0.5384645329157879,0.4641103641981229,0.7628247779812933,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaEmphasis,0.4611393078631664,0.6229557830206838,-0.433927117959755,0.46020098002687926,0.7628247779812933,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.6370466423553884,0.440987808026127,0.5306602353009549,0.46809702285215726,0.7628247779812933,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.14026596193568847,0.2845621128260708,-1.0205786358518345,0.515610563045183,0.7766713418806707,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.2599936670670149,0.39564281015159725,-0.6057220575036162,0.5114447513162755,0.7766713418806707,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.1402659619356885,0.28456211282607086,-1.0205786358518345,0.515610563045183,0.7766713418806707,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.14023064308080704,0.28362497436516493,-1.0161829332115964,0.5186305969195946,0.7766713418806707,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.8138874651138887,0.6681872744845808,0.28457682215425867,0.5207228314881769,0.7766713418806707,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.2412601224570413,0.3938178945289354,-0.7069391925091741,0.6682232497585359,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.5586186919707348,0.436380154789604,0.3562783546476005,0.5437952595572744,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.7502199248504852,0.6042730205058612,0.31211304934665907,0.6823247384922545,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.5347717784053322,0.41888210358406025,0.3523790843849163,0.6065890712262669,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.5251892216684286,0.6365912220555061,-0.2775299553632825,0.6431426343918258,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.20752194205449864,0.34303588083494796,-0.7250956012198277,0.5469683327078535,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.24609171642932925,0.39267040623827565,-0.6741227760400548,0.6793381107043162,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.2581055221935648,0.4343209485214684,-0.7508005313440275,0.5951498037978609,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.7515053405491119,0.6034564189345348,0.31653377200667593,0.6764092639067916,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.2676349265711307,0.39002762039685274,-0.5433098931101961,0.551367565939863,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.24327352080339407,0.3987581649584498,-0.7129347616089996,0.6641535479393926,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.24446873044098405,0.39235276516272455,-0.6825014234080738,0.6775383640809882,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.27659771133393674,0.37455559526482424,-0.43739065454223786,0.6367558626053311,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.24446873044098388,0.3923527651627244,-0.6825014234080741,0.677538364080988,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.23761299400033906,0.3366655987840875,-0.5027025781241511,0.6519145476312525,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Correlation,0.4702131572757904,0.37634704495943205,0.3212512647355421,0.6649881256333501,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.14613232917008562,0.25439591197048983,-0.7998001033541036,0.6313228739882968,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.8455894012571286,0.7399131843155471,0.19260128787536146,0.6350554930184595,0.7797997011340051,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5434137768484137,0.624127226304714,-0.1997890059384095,0.7074370323383676,0.7981340877663635,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.25249092996210626,0.3253339104529724,-0.3656896423409979,0.7461306742551912,0.8210503033220593,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.3607745683439094,0.28375249732902286,0.3464645542408842,0.7464093666564175,0.8210503033220593,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.6253076024716888,0.536243881332874,0.22167677637923403,0.7729726885337445,0.8397727974193767,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.6756823409820985,0.5847394831348284,0.20855114151215828,0.7864182402695462,0.8439610383380496,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.3281922959007357,0.40629974942701147,-0.3080031019034493,0.8128956756215442,0.8618652946348901,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.49583333333333335,0.5428571428571429,-0.13071732879919426,0.8255490577764173,0.8627616563427929,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.3363489713370418,0.4028420447534648,-0.2602554197951363,0.8333493271492887,0.8627616563427929,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.2728007662317211,0.3053172522391119,-0.1624614161400127,0.8866808479433432,0.907301332779235,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.38097248831677,0.35519689648864483,0.10106784190303175,0.9046843575791398,0.912400617994227,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.6856011952754935,0.6610162005577258,0.05268399409398594,0.912400617994227,0.912400617994227,l_amygdala,male_P45_nrxn,male_P45_control
