,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.35002298015200595,0.6829494746300664,-0.964329207453156,0.08802592149874854,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.03437990837389066,0.3776756652220713,-3.457510224598162,0.14475947606557016,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.005566242089194132,0.3347556226066569,-5.910260820959245,0.16104747778659617,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.9458469308677704,0.5880010281825919,0.6857880491919798,0.13380216338569992,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.9485200017812644,0.5891127863863683,0.6871343302997359,0.1327720458137032,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.12848394756080342,0.5268621988210074,-2.035837549061033,0.09132873578061429,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.020374182042541572,0.39411876968705045,-4.273816412577206,0.12091817683627518,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.9588173821972663,0.6088075277505263,0.6552698660273122,0.13845305901936875,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.9554821349297229,0.6027058611317688,0.6647748041179063,0.13640571204493426,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.9590385886777901,0.6092909064218943,0.6544576573917489,0.13866080296218214,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.9583678413819974,0.6032297680116272,0.6678718743567839,0.13464794975535752,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.0824658957481339,0.4701303886861137,-2.5111914248246157,0.11919113327694952,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.03350515463917492,0.3708118556701038,-3.4682323999911557,0.14975707783656525,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.06775063538315329,0.4532376812091772,-2.741961427104,0.11946188929010558,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.05434838521106489,0.4172503926077188,-2.9406043311584424,0.1305117938143547,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.03046874018126059,0.42164987851879143,-3.7906437848408103,0.11045962422473146,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.06441472950313276,0.42177657030588006,-2.711016428149179,0.14134703529149004,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.7499999999999999,0.2,1.9068905956085183,0.07801010279286519,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.9737403928266453,0.6418730429832067,0.6012492164619152,0.1549992714746343,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.9748880411409608,0.6470898071208679,0.5912705930134169,0.15961637066448778,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.9721212286888488,0.6401939075840872,0.6026272892790242,0.1553155465805501,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.012319711538461675,0.3502403846153843,-4.829305062559049,0.15044031199905541,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.008214904523884237,0.3497608447046435,-5.411981172309961,0.14771782253749596,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.9702593461544105,0.6384257177839459,0.6038516560351426,0.15505643498186142,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.011131529628866765,0.33969857883314136,-4.9315314245324995,0.1602101931263873,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.04894687600816827,0.4021259107875984,-3.0383586093645336,0.13659754328000184,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformity,0.9706914399747801,0.6530467642619147,0.5718264636847901,0.17005550001243722,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.03595856943584508,0.3735176952381879,-3.3767690602915255,0.15019159909719,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.5,0.0,inf,0.08922429896478236,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.2596153846153846,0.6717948717948717,-1.3716449037654634,0.11132011385751492,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.11250000000000002,0.6222222222222222,-2.467504919172979,0.052891934877362067,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,0.625,0.2555555555555556,1.290219235160024,0.16865696641225333,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.9706914399747797,0.6530467642619137,0.5718264636847916,0.17005550001243672,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.9737366650835888,0.6441235530841467,0.5961942195955604,0.15768094692662685,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.015533282872626307,0.4094830728450849,-4.720369142563822,0.10925090059111134,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.0012244309077557398,0.3231347855443101,-8.043880887501324,0.17153082978693274,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.12507966843132223,0.45825014345449305,-1.873288032400442,0.1554408015759018,0.23792986067219704,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
