,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9733187789067838,0.2036286234824472,2.2569720191269584,0.01040183967953645,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.011888584006455483,0.7725716476953913,-6.022019935859506,0.009543401486002467,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.035269169637654835,0.7858860035008516,-4.477840542811629,0.009029939702865274,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.002027333579597196,0.7982281647371313,-8.621073882778097,0.00944918245712627,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.06400982408841412,0.7351251081150625,-3.521624548652845,0.010817768079259604,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.8437513010114028,0.22077122121298248,1.9342657007464332,0.009578375880205438,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.9955010247925176,0.19949090410189213,2.319099833622352,0.009220653068663208,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.02302532016732603,0.7742986147327559,-5.071596938827433,0.009337184881321143,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.011721190942116905,0.7671801762240348,-6.032374373254586,0.009660210412359318,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.6477026123999624,0.11778783440366851,2.459141023384885,0.010394236514774785,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.9521458663853817,0.21036528784586245,2.1782859410842117,0.010439057856134153,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.011888584006455982,0.7725716476953916,-6.022019935859445,0.00954340148600244,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.9783225221849992,0.2038475780559102,2.262819338751065,0.009131945066969682,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.8660538820142079,0.2118224806524284,2.031601075581354,0.009182307308157707,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.06144265464205856,0.7906535979105106,-3.6857333034195547,0.00998562058953382,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.00893505152976462,0.7674080286437752,-6.424373998782757,0.009553871564861113,0.05949772443592782,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.8720909273296635,0.3676828784676355,1.2460165658835074,0.02253517718105934,0.11665268187842483,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.684066791372449,0.33199452609817115,1.0429777400986389,0.08003256918011219,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.2451842279251964,0.603838361840781,-1.3002962370258837,0.0745112800993344,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.31149199198679645,0.6578121464381723,-1.078480573542988,0.07848453027830059,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.3499850496318822,0.7192892436333521,-1.0392787344373737,0.06095044542927597,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.2952241765892243,0.6600139932502479,-1.1606857401516733,0.07708956798537929,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6633124577794536,0.33132141582513236,1.0014571628254136,0.09288964548040769,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.15625,0.525,-1.7484612330040357,0.06218071800607829,0.14749357472630265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
