,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.8794442147630583,0.5267010847504764,0.7396076362722701,0.160061591999663,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.14129262255159086,0.5026212534067404,-1.8307855382542884,0.12927013387927463,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.16709335517129986,0.5444959913879472,-1.7042670651232033,0.12875139859174972,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.14129262255159078,0.5026212534067401,-1.8307855382542886,0.1292701338792747,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.18258510917578263,0.5706221043062442,-1.6439665236076701,0.06508751849224632,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.10675580404190413,0.45378075932377976,-2.08768093121165,0.12619446768934212,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.08345438607119604,0.4790937359801141,-2.5212481710415298,0.1215186618811008,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.10113315641470585,0.44359724549354657,-2.132994346078884,0.13205315208363022,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.11389876319483849,0.4363009885666188,-1.9375716613847178,0.1510749808517095,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.7243863207263,0.2961034889616466,1.2906578130012507,0.1516776197996429,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.7903076687510754,0.29990803884104944,1.3978942141962827,0.10900364668464772,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.2912080416639524,0.6923644888663194,-1.2494815353937354,0.1113942621286596,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.6281743006173435,0.23381005180735173,1.4258279671746463,0.130697088266341,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7704675145127763,0.276053374165105,1.4807868940597233,0.08547152101998666,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.6648367217897058,0.3094424937535261,1.1033287441064366,0.10397867854678873,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.14343522528824218,0.5045531037726598,-1.8146067504298382,0.09201163132289852,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5503009440017037,0.16433704292547854,1.7435630911982525,0.1161144590437262,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.6064779319391072,0.2768185289190967,1.1315146372348839,0.10272170490821883,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.14871586273187098,0.5353402353839002,-1.8478975473411803,0.07422685035446956,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.10860100737763181,0.441902987818329,-2.024692199982495,0.14284351580957633,0.33861752414769747,l_hippocampus,male_P45_nrxn,male_P45_control
