,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_RunLengthNonUniformity,0.733931813802479,0.2293161114141518,1.6783083150754867,0.009216384574937021,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.2358816645326718,0.7560304285026616,-1.6803810209120063,0.008996871008384298,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.7505547951119937,0.23898714405712607,1.651024388543346,0.008230513773944084,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Correlation,0.2437069714886943,0.7591905672973585,-1.6393145460131398,0.008505191645769216,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.7505547951119937,0.23898714405712607,1.651024388543346,0.008230513773944084,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.8324791575287769,0.3085232979647337,1.4320347146170584,0.007422255579655228,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.8309830549709059,0.3063584695645606,1.4395983220019009,0.007454982411375598,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.2494452048880058,0.7610128559428737,-1.6091978891404843,0.008230513773943888,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.19797945901116043,0.71920392039007,-1.8610501310823238,0.005685381540446768,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.2494452048880058,0.7610128559428737,-1.6091978891404843,0.008230513773943888,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.2494452048880067,0.761012855942873,-1.6091978891404777,0.00823051377394432,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.8380489470853081,0.3118230333080831,1.4263070094763899,0.007602238283196682,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.7505547951119937,0.23898714405712607,1.651024388543346,0.008230513773944084,0.022071806211549305,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
