,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_SumEntropy,0.15453641782320027,0.7362719145340065,-2.2522918086541095,0.0007033065051393614,0.061890972452263805,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.7411581241795426,0.31392104721837166,1.2393796112395663,0.0578932327235699,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.6620291266493175,0.2109469741378401,1.6500142978514816,0.058459425708847323,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.2755425359757821,0.7707006618495654,-1.4838955825879494,0.056367198978690934,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.6620291266493175,0.20861712281035114,1.6660371154887692,0.05757884495979864,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.33797087335068365,0.7921594942988122,-1.2288920143785074,0.05729320422742251,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.33797087335068365,0.7918488474551466,-1.22832614783001,0.05740699271006068,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.1323757054193231,0.5295962759006578,-2.00025460496616,0.06473053358129227,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.7674111482305049,0.26556756750396515,1.530920755213629,0.0588016509904377,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.6620291266493175,0.20657850289879764,1.6802045598929556,0.0568372996160642,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.3083950162987338,0.731145288240413,-1.2453786659413713,0.04296812321132183,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.7734408602150536,0.21055757035905912,1.8770762358651523,0.004404801047654331,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.6958829253121324,0.18649079015727707,1.899740224050853,0.04629247529846486,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.2802711318456541,0.7714469747582383,-1.4607438436095908,0.05914334651750372,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.6638867178798566,0.20197667646129885,1.7167483833459103,0.05389621667224059,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.6624274601802687,0.20648228176318106,1.6817444900173062,0.056720754534298624,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.6646318494266896,0.20817741240156779,1.6747418869185637,0.05435226675081076,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6522318263887836,0.20921006875302553,1.640432554208437,0.05399129937316421,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.24547770937942714,0.7687424372257287,-1.6469082859254485,0.015856541003285103,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.31420418772425585,0.7905079927055599,-1.3310776404770341,0.020688087844109693,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.2981460229983091,0.781033366560123,-1.389365090493881,0.03455087293517571,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.3080460456169558,0.796282179751928,-1.3701337555432236,0.03819721909433075,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.28630690769433675,0.8388236675092079,-1.5508050893233276,0.023854869096698567,0.18375119210173288,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
