,binWidth_0_25_vISO_male_P45_nrxn,binWidth_0_25_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.8324792622983779,0.37851430620348764,1.1370665051098174,0.0115345788986998,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.12512539060577765,0.6203941942812066,-2.3098106127836893,0.011139208765082568,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.15494246428317027,0.6441051591443141,-2.055563657323971,0.005724154073687435,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.26098901098901095,0.7573964497041419,-1.537059595585564,0.0071434807132627655,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.12010324113842863,0.6073680984176335,-2.3382960494265954,0.009176525342532495,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.14914472368456216,0.7114307364997076,-2.254010365495509,0.004063315391456569,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.23724489795918371,0.7881407903994736,-1.7320763082430595,0.014270267025064317,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.65093537414966,0.15209413547363707,2.0975497916166828,0.011194090515649494,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.1603123188872395,0.6138491853950712,-1.9369989572529125,0.013999959627525342,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Skewness,0.2540921117839355,0.7066627734015377,-1.4756703226024663,0.01206920733428587,0.12557834982056598,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.23684108934216397,0.7669607353725653,-1.695233326196646,0.01611219316690776,0.12884244403963935,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.3344633008790123,0.8088659511177635,-1.2740527133375312,0.017569424187223546,0.12884244403963935,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterProminence,0.2521391992443478,0.7833079015803126,-1.6353590849190542,0.028873461241975283,0.1681085723262906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.2761713506129072,0.6809678723517811,-1.302023068912666,0.03215883258767727,0.1681085723262906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.2785685052166157,0.6827161625816053,-1.2932537496110104,0.0324755196539425,0.1681085723262906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.2761713506129072,0.6809678723517811,-1.302023068912666,0.03215883258767729,0.1681085723262906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.31637031802071136,0.7225627837857,-1.1915086974598288,0.031104419888210784,0.1681085723262906,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.19946825628202036,0.6260383698183792,-1.6500919107088179,0.04064638907877995,0.18825695994382294,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Range,0.4043590827914838,0.8357509981122659,-1.0474361548984312,0.04027663764194962,0.18825695994382294,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.626492106276473,0.27582744961096495,1.183530294728522,0.05025674200379188,0.22112966481668425,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.25367450156155924,0.6302312938216093,-1.312902880208941,0.05398589242491981,0.22622659682823537,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Maximum,0.3518072384997745,0.8127331146036825,-1.2079965108647883,0.059525400231203625,0.2358068743964893,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.34258679903959743,0.7582266491685449,-1.146159602518536,0.061631342171809704,0.2358068743964893,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.36865510811802693,0.7926065124410616,-1.1043330740203083,0.06556977617180253,0.2404225126299426,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.3332802905638368,0.664660599981415,-0.9958818334960066,0.08674996116049988,0.30535986328495957,r_hippocampus,male_P45_nrxn,male_P45_control
