,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.658038023455335,0.21629845325232494,1.6051476010719694,0.02755468814646412,0.4794515737484757,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.29041474981233417,0.7038298932805364,-1.2771120620551433,0.019359928219962276,0.4794515737484757,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.1659985150009815,0.5838207615096035,-1.8143551805860045,0.02407440509096425,0.4794515737484757,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.2429005348827713,0.7220260110022777,-1.5716851442823567,0.014092754621801656,0.4794515737484757,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.2117986077074394,0.6554105050493065,-1.6297056912965109,0.010468963991308412,0.4794515737484757,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.6595590141020715,0.9226333062206995,-0.4842556227979324,0.21883928460473093,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.7455903046329881,0.9956252493887267,-0.4172197181431265,0.28967942910082234,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.25,0.0,inf,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.25,0.0,inf,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaEmphasis,0.25000000083490115,4.30004884089614e-09,25.792999812450372,0.2923519981040607,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.24999999999999994,0.0,inf,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.30481270631517887,0.6142088877103049,-1.0108063447526585,0.20050841958277074,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.1905089297142486,0.47830963755096934,-1.328086238084911,0.12476518635806103,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.17865924546195266,0.4446402238346785,-1.3154278918332343,0.19394814649444955,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.26349003675170835,0.4977952590936482,-0.9178040796177929,0.24409667135956647,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.2500000370771624,3.069493346206634e-08,22.95742443057418,0.2923519591323065,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.25,0.0,inf,0.29235199244023835,0.5549852566613911,l_amygdala,male_P45_nrxn,male_P45_control
