,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_RunLengthNonUniformity,0.38588448786589447,0.8692979564196055,-1.171681702789018,0.030589539957182627,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.6119163354158204,0.10727841650156478,2.5119745657546044,0.026138953736863115,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.6119163354158204,0.10848818339421058,2.495796501245652,0.0263709509367102,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.2617522950153308,0.6640421516201258,-1.3430726362993413,0.02844484641611727,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.23471626338031548,0.6398982097770514,-1.4469246212327358,0.026974796687281418,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.3873977045941839,0.8934255058764127,-1.2055320361553845,0.025701377782377997,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.6228619726396857,0.12842380546541923,2.2779998402762027,0.02693300443113404,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.3827801875295336,0.8940497839129673,-1.223839009367188,0.023742864218277083,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.6301250425794604,0.15553696664542543,2.0183806386628858,0.03309267091869966,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.28338962220360436,0.672265771519372,-1.246244769091079,0.02587053152922072,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.38923522137463795,0.8707614029997284,-1.16163519708468,0.031696998554011126,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.39196999106923247,0.8727546863279997,-1.154832991558587,0.028023517612062555,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.3888152914458747,0.8912692404743883,-1.1967763575868913,0.027057843985652197,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.5598688784933961,0.10460324311050036,2.4201614055178005,0.028278315829140338,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.35437114474026776,0.8706192570037086,-1.2967807962470423,0.02192647454270801,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.3880836645841774,0.8864902349501502,-1.1917370315950073,0.02738370686609399,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6193793858794523,0.21041401597568593,1.557592560393215,0.031580205510861076,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.7876402457204849,0.30901744200268005,1.3498485588245774,0.011373451341269913,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.37364681424665824,0.783546349736735,-1.0683433963248405,0.02830593577033002,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.3736468142466589,0.7835463497367362,-1.06834339632484,0.028305935770329894,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.5764446328344606,0.08079883680930262,2.834775615515909,0.022143309872631457,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.60025515588951,0.12063355688791404,2.3149446099807522,0.028498170370129035,0.13237068367479865,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6034558128903216,0.14881879981507068,2.0196913466301996,0.03688276901186878,0.13860173321544295,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.8735934881493894,0.33059878168808016,1.4018806942420534,0.04095051208638087,0.13860173321544295,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.2759165382651323,0.6845747288654443,-1.3109761025967241,0.03970909841900962,0.13860173321544295,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.4544918414182403,0.9377583458593872,-1.0449618008003796,0.03952585247691547,0.13860173321544295,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.9311959838313484,0.34885325409049506,1.4164645449273527,0.04655758216884281,0.15174323077252472,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.047774158523344185,0.6148389431777053,-3.685906179101586,0.04976017589317186,0.15305393554225313,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.5723871858064192,0.19358308322340018,1.5640384900570414,0.050438228758242505,0.15305393554225313,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.0016007498039072587,0.5982930952192775,-8.545960769776874,0.06757148592692189,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.01472306884514546,0.5979128137677996,-5.343784809244738,0.05933868685763562,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.3538191356179933,0.7550051768570467,-1.09347446113729,0.07659238972608064,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.02297001436015428,0.6127182344131389,-4.737400122608782,0.058957408988769375,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.03303872053872051,0.5335837716003003,-4.0134850661308565,0.0719411094140546,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.010869011861731864,0.5929508391454122,-5.769619806383594,0.07076322970820756,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.958223931800738,0.36945277187714465,1.374972892823261,0.055036138958898945,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.9756801397300324,0.399422432323539,1.2884929025180725,0.07477133484110302,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.9963541046213139,0.39902012469605735,1.3201970567582577,0.0675490055119816,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.015355184935671118,0.5953239082624991,-5.276877041148342,0.07230664511706282,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9532450419423422,0.40127670827140216,1.2482497034923694,0.077894977640016,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.16331131967736745,0.4947693712987672,-1.5991314004401085,0.07735890149057006,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.015355184935671173,0.5953239082624986,-5.276877041148335,0.0723066451170629,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.01286314189543672,0.5927253700013878,-5.526048832198116,0.07206188604873737,0.1594129774958467,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.9530944386676534,0.39538906267943197,1.269346209092163,0.0810142865301309,0.1620285730602618,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.6504578907247449,0.31739751840853925,1.0351648145048287,0.08377950820669755,0.16383548271531967,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.025397258627150095,0.5011049841812208,-4.302368201010969,0.09117605174289292,0.16837381066010812,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.09710069764166199,0.5157443603621701,-2.4091025742432985,0.09566693787506143,0.16837381066010812,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
