,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.7032443657861497,0.20114873154765198,1.8057634487861767,0.015363334620931854,0.6759867233210015,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.7173146213953109,0.20099041514616256,1.8354793346313916,0.011235883774998205,0.6759867233210015,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.6472510451626428,0.7969154963454775,-0.300101361483211,0.5466318230152303,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.07665602065930963,0.2884028599644421,-1.9116144587109123,0.3676024761040013,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.45541261017731705,0.5710500736288084,-0.3264430170099088,0.5584505082791458,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.4449095780308101,0.6095557043983028,-0.4542459106686289,0.5666087946358974,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.5245256366121736,0.7155369040658494,-0.448012888965903,0.4044107476985683,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.395216290901281,0.6010454722452744,-0.6048317261680443,0.4515697648333692,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.45392779676595807,0.2925618991933437,0.6337209387781726,0.5255292469852689,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.8351215090042561,0.5906895448862038,0.49958604625005976,0.3607932084296834,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.890187114781427,0.4415764793006144,1.0114452897270605,0.07571571630051624,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.07957384867496417,0.25979724525753645,-1.707019850052193,0.4298846574816537,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.05361189951641006,0.28315884969948185,-2.400986462707177,0.3280261367901196,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.10758243727052881,0.28834300289785164,-1.4223434349892652,0.43318303469631625,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.4716695267238037,0.6568930353343293,-0.47788207424558876,0.508669328146022,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7741785809667496,0.5786694071295716,0.4199270191664119,0.43709593789346013,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.2199275967547682,0.5436190729797696,-1.3055674277269382,0.15389470842811892,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.15216551284012553,0.4386767510494554,-1.5275168285670109,0.2480272339287465,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.07984797535239166,0.32791965282813956,-2.0380146358565447,0.2847258562668079,0.8310262321326496,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
