,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.4694405020159349,0.09021641570544237,2.379480444838648,0.07446121631875205,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.47792881104331136,0.05309612911462226,3.170117147691976,0.07596789876875415,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.59669336451473,0.9780325240463116,-0.7128927085750193,0.10293388274452622,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.396640858547469,0.018479634641888686,4.423825160481511,0.10683984396907217,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.48817302534413076,0.05686870831600334,3.1016856380625932,0.07388997230587824,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.4542352413522864,0.032035764064339424,3.8256843355151666,0.08520500027111981,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.5932484895046948,0.2109769304869861,1.491551267693952,0.054067837908442364,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.664120657294304,0.21528904650025668,1.6251704541256367,0.045202613092416105,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.5725742685130766,0.1244728541474119,2.20163169283618,0.056598024365329305,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.4250089372622958,0.882288750173589,-1.0537577104946874,0.0478904553823158,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.41283378401434323,0.8744590457319472,-1.0828297810840348,0.04517239856956935,0.1648230358573596,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
