,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.2336110962134903,0.7814927554844872,-1.7421236974371954,0.0009644230741213405,0.08390480744855662,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.7858143353941145,0.35973724884080693,1.127244936270595,0.030642410887335107,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.151770647360464,0.6593590379414394,-2.1191714650789786,0.014253369125628364,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.23823077817176852,0.6759802899472789,-1.5046213674997075,0.033209139618408004,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.19984124341472764,0.6921486113132971,-1.7922274737974115,0.00575096896037022,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.24227528089893724,0.6741573033708391,-1.4764380439427376,0.03191967254028056,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.7643401852927711,0.32959891208722425,1.2135034016419346,0.03503910145297466,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.416756459349255,0.8858797063156345,-1.0879062485346775,0.011016915283452734,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.7672088283114036,0.335845898796174,1.1918199101617009,0.037246502729021004,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.23823077817176852,0.6759802899472789,-1.5046213674997075,0.033209139618408004,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.761769221828331,0.3240197100526984,1.2332724244714548,0.03320913961838486,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.761769221828331,0.3240197100526984,1.2332724244714548,0.03320913961838486,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.761769221828331,0.324019710052562,1.233272424472062,0.0332091396181929,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.761769221828331,0.3240197100526075,1.2332724244718596,0.033209139618310034,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.23823077817176852,0.6759802899472789,-1.5046213674997075,0.033209139618408004,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.7665975627402233,0.3344866650068184,1.1965207153223858,0.03679202971062776,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.24225745763973805,0.6740082996718911,-1.4762252785556238,0.032215336000447375,0.1906144551426369,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.2929277528791081,0.7101949424178826,-1.2776702013151422,0.04924561219596748,0.22549306637100897,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.2929277528791072,0.7101949424178848,-1.277670201315151,0.04924561219596616,0.22549306637100897,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.14315374583712526,0.5189116116486445,-1.8579233981656775,0.0830361487168047,0.36120724691810047,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.8094759914842875,0.4325232600066897,0.9042105724687646,0.08897323356247575,0.3686033961873995,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.7194788743875762,0.36850326481056755,0.9652749254743271,0.10662877289311569,0.42166832916823016,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.16305576327855054,0.5097173038417644,-1.64433189588295,0.1250708517504818,0.47309409140399633,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7862525213322495,0.4253002366909193,0.8865110805306683,0.1353299030489872,0.4905708985525786,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.11382826006943447,0.43897741980905813,-1.9472879529997087,0.1485563786313594,0.5169761976371308,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.25000000000140693,7.047896113818508e-12,35.04594447960578,0.2923519924494302,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.24999999999999994,0.0,inf,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.25,0.0,inf,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.25,0.0,inf,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.2500000006727207,1.2618228680621142e-09,27.561843455712836,0.29235199308868876,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.2500000002650915,2.6870493089195816e-10,29.793258154515286,0.29235199228961584,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.75,1.0,-0.4150374992788438,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneEntropy,0.25,0.0,inf,0.29235199244023835,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.7497827271014063,0.9997999210278291,-0.41516682271885724,0.29219273753640146,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.1430637546699609,0.3859059671470447,-1.4315911417275897,0.3028057393407399,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.47350394848338695,0.6851878292717629,-0.5331230694350619,0.31394424948641847,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.8658434111594033,0.588480595920555,0.5571112895807887,0.3346542515295964,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.5137915256753244,0.7321625119905893,-0.510980811956011,0.33921412752742963,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.6179423066668451,0.3721585870689437,0.7315546245574289,0.2769166072407674,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.3739669421487619,0.6198347107438054,-0.728972803412678,0.2978556392287909,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.6408894860857501,0.3929466322161035,0.7057422152369717,0.27088664589802247,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.15040215643998026,0.389819775830107,-1.373982029107051,0.32384730947136237,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.6338339953315177,0.4238636554761537,0.5805047732654007,0.33737632567773446,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.753389055716084,0.5395340515770095,0.4816810604838723,0.3275584432917565,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.1789742348137647,0.41080027070346603,-1.1986852207304717,0.3086162727087556,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.6468602333413216,0.3823267917515409,0.7586477224048883,0.27070304155512426,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.6260330578512345,0.3801652892561947,0.7196120274159401,0.29785563922879654,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.7282367021017742,0.9780161415997984,-0.4254508238263595,0.28028643669107983,0.5177478788576557,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
