,binWidth_0_5_NDI_male_P45_nrxn,binWidth_0_5_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_ShortRunEmphasis,0.3121119707874591,0.8679026818737186,-1.4754695903621433,0.005528534819654863,0.4809825293099731,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.42370081325392306,0.7316906792133409,-0.7881879830936296,0.11059879849195106,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.29179957748985785,0.7426416368338877,-1.3476884090703,0.029033494049088792,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.42370081325392306,0.7305133046559235,-0.7858646508895171,0.11170957872532383,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.5823744724618882,0.2825121457417251,1.0436342253814714,0.12674020341563644,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.421318575553423,0.7286814244465859,-0.7903766895520238,0.11256389247507366,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.42370081325392306,0.7294831019181857,-0.7838286614571828,0.11270586739054518,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.37848334837541664,0.7791407125738047,-1.0416540728122772,0.061907060229102515,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.47895645518559204,0.8576713468430256,-0.8405304259840494,0.10896176446041692,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.4789564551855934,0.8576713468430256,-0.8405304259840453,0.1089617644604185,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.5762991867460947,0.2698791535298938,1.094504441868681,0.11208641944107725,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.5089955327163431,0.15710534705775903,1.6959207109196666,0.12803826707958652,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.9126109934156861,0.48082147339581116,0.9244987047817942,0.06233531695539121,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.9447054580092855,0.6149440485292361,0.6194094423789871,0.1273260054892435,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.5657394758741985,0.2509052082842665,1.1729954236296272,0.10741369479784584,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.5798343065594445,0.27423972371302624,1.0802031335267852,0.11384047163245328,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.15365761150322788,0.6962460182505781,-2.1798779385829663,0.021265789822291645,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.42014610724197965,0.7260795992340633,-0.7892366005473839,0.11392871442311432,0.5765888881985874,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
