,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_glcm_SumAverage,0.782350931964455,0.39817580103831746,0.9744103446091269,0.03457021409308984,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.7681838650289095,0.2577819678769572,1.575300312575418,0.017867043506848167,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.4678927908952346,0.8934166452429053,-0.9331551333366815,0.030328736670778633,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.6019021739130039,0.12228260869569567,2.2993097922247356,0.013107551694724053,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.8299953020300173,0.43070494275894333,0.9464032904807752,0.02682329301754071,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.16325340152639622,0.5587930405510342,-1.7752010010255206,0.02908038989075872,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaEmphasis,0.6017627652587692,0.12219418339052482,2.300019228527504,0.013125612202624008,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.782350931964455,0.3981758010383203,0.9744103446091167,0.034570214093094825,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.15642144088536725,0.5480842824536566,-1.808959484523717,0.03161732036122395,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.8233081673628426,0.4203911118705143,0.9697003705420454,0.02481519536128716,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterShade,0.21472412969907792,0.6056475489935371,-1.4959941511496737,0.030871416777698363,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.7731131673175433,0.38408593888008935,1.0092504606937494,0.032649330849104805,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.6019021739131745,0.12228260869587756,2.2993097922229984,0.013107551694713991,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.6019021739130435,0.12228260869565219,2.2993097922253436,0.013107551694706463,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.39809782608699606,0.8777173913047136,-1.140633500272135,0.013107551694663312,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.16666666666667318,0.5641025641025692,-1.7589919004961616,0.027913504242184316,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.8333333333333268,0.4358974358974265,0.9349049717781348,0.02791350424218248,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Entropy,0.3981117672428809,0.8777262354017694,-1.1405975156879233,0.013109356656950972,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.6825449862094923,0.2685224110907246,1.3458816348040445,0.02907495118164971,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.6019021739128902,0.12228260869555925,2.299309792226073,0.013107551694742628,0.13655234566772456,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.2968466039721349,0.6599221464232272,-1.1525782259063038,0.07190241734355031,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.703153396027858,0.34007785357680403,1.0479743954899545,0.071902417343571,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.703153396027858,0.34007785357676423,1.0479743954901235,0.071902417343558,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.703153396027858,0.34007785357676423,1.0479743954901235,0.071902417343558,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.67839993804213,0.3094795539033498,1.1322919387386035,0.060230788353687614,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Contrast,0.2968466039721349,0.6599221464232272,-1.1525782259063038,0.07190241734355031,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.703153396027929,0.3400778535768495,1.0479743954899075,0.07190241734355385,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.2759946212423259,0.629617804376133,-1.189836186928779,0.06997582867805052,0.1775090928169409,l_amygdala,male_P45_nrxn,male_P45_control
