,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.28975211536770606,0.587871166971154,-1.0206808266485576,0.20919786434547955,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.5382568362560313,0.30833003370399636,0.8038193119690902,0.2269002113797646,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.8430816516201372,0.6716382857316148,0.3279878902321332,0.4244493893130087,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.7479690673492811,0.2916596117536784,1.3586929884409378,0.03979400691952832,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.28200947844220536,0.05404152774519844,2.3836032878426003,0.31515179595077747,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.23534495382103238,0.4370210993658198,-0.8929260150531716,0.34313186059129475,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.4207894590925809,0.6227561706969873,-0.565568846631537,0.34303939179523485,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2188219183973814,0.39050057872376553,-0.8355674328740418,0.4026696064223106,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.8490712074303435,0.671929824561414,0.33757498283639714,0.4112458965084861,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.24000912991857604,0.4101610112852246,-0.7731010731094956,0.39975118180069075,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.5106331341414467,0.3277090667674969,0.6398715662269867,0.41984717065427213,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.8111111111111111,0.5555555555555556,0.5459683691052925,0.2823603637974711,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.6509433962264151,0.2641509433962264,1.3011695347205647,0.023951658551686832,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.19534149752782545,0.3893894776274808,-0.995215437142863,0.36546641900394367,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.8497840650213053,0.6732477043972367,0.3359588852659761,0.41315472106167994,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.1803709509403974,0.3805313019208215,-1.0770481237678609,0.35765877545151675,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.14668769716088326,0.6025236593059937,-2.0382700169277177,0.013448987659859978,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.2765151515151514,0.5075757575757575,-0.8762646315777555,0.21911672365769633,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.8479166653403443,0.43333333019133,0.9684452743291322,0.04376897520872088,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.2006944371072887,0.48333333093190145,-1.268017858923304,0.2096289937850212,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.6666666666666666,0.4666666666666667,0.514573172829758,0.3338991406915331,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.9606792253264029,0.7761645276180336,0.30769228932880993,0.4345135897261587,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.3183035811545549,0.5230059823354587,-0.7164240601761303,0.25706891280243516,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.7421028353697685,0.5516992548415918,0.4277370873075554,0.32276102663627565,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.7421028353697667,0.5516992548415892,0.4277370873075585,0.322761026636273,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.2459246377092239,0.4463547334927059,-0.8599744483644257,0.28770097920504933,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.17091038627141675,0.3532540346312345,-1.0474659654962764,0.37935032965574034,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.44920695652173803,0.6413722898550717,-0.5137817544453749,0.4223834503008561,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.7048452344885003,0.41039896878595955,0.7802794084500815,0.2114959299959844,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.20895953149571922,0.39744735223581007,-0.927540199454363,0.37327569885110146,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.7711390907930546,0.5961405003153011,0.37133871354877096,0.43348833106920726,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.6430801864070759,0.8194875282574685,-0.349723353111874,0.3944745129125987,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.2604386480979919,0.027118233914656998,3.263608424228718,0.31829355707195583,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.7435713738426348,0.40007345936908967,0.8942063058253275,0.17472540244725157,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.7434749450902143,0.40010164353724564,0.8939175696567352,0.17495773457363273,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.7186230178776651,0.4492765801514427,0.677631287224006,0.2485137276858425,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.7693163710726043,0.4234480180935691,0.8613921321262304,0.16406082012767687,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.7520951421671462,0.43197436404202094,0.7999694817346074,0.2009065508837565,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Range,0.5678125509372883,0.23113378563441786,1.2966865797645073,0.09693347496227156,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.23350356082599255,0.4119014356968094,-0.8188546042150152,0.3767073812282849,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.4337056841310625,0.8297303939714276,-0.9359262834588779,0.08760559892755337,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.7372086352242563,0.4143082359821416,0.8313684701824232,0.19926835472536678,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.4978871557441804,0.24338436967687915,1.032582277833577,0.22056684101591703,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.36624073095659565,0.13630918160730449,1.4259095039346432,0.2697955031932312,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.7655648287232769,0.4385531940019723,0.8037727076548136,0.1823934137945831,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.7434749450902143,0.40010164353724564,0.8939175696567352,0.1749577345736329,0.695221743561854,l_hippocampus,male_P45_nrxn,male_P45_control
