,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.4541438230264906,0.6884131533762473,-0.6001254052688108,0.40718396915162336,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.28278613533775065,0.4707914976677108,-0.7353768777480967,0.4151064643067697,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.2756310796455482,0.46204166800927854,-0.7452843903440668,0.41811067009528446,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.41983350279613624,0.42765124555160144,-0.026617443338919425,0.9709069186255751,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6271871736942387,0.4698842119143989,0.41659076181314714,0.5274762294064494,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.3057851832716208,0.29885143237841433,0.033090045503562364,0.9774188527604031,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.5951526781244787,0.3229367595528117,0.8820081484426486,0.2870680101435467,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.3609324999311916,0.424970545129144,-0.23563379535422627,0.809306633637451,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.29473844840968866,0.36123258037479006,-0.29349274735628517,0.7932947740894235,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.2675335614885608,0.4521399453420637,-0.757049495753201,0.4219971526622257,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.33185905108102887,0.4044736560406449,-0.28547511823610106,0.7748681979932377,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.4237268518518462,0.43634259259258956,-0.04232674985149026,0.9632569522013936,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.2990016279478205,0.3878948539711541,-0.37551229704222155,0.7308677021803927,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.33081724333201135,0.4229970548580811,-0.35461318383666074,0.7107793107507727,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.4827353519851929,0.4851785953944884,-0.007283421519787741,0.9927261162698757,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.5105376656855736,0.5152171683103901,-0.01316326639059182,0.98554611137281,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.3747230623034179,0.4586309143880367,-0.29150883326334576,0.7538005477897165,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.4215064825973116,0.6241011511862526,-0.5662250534211409,0.4017903356969581,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.37211719748461136,0.5315586906914282,-0.5144719255306917,0.5389984673338168,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.3871089286166378,0.5868950525654013,-0.6003629628844663,0.41259210520272127,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.47150611970284473,0.44592127305959933,0.08048746953012766,0.9109647325562136,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.5920977607298361,0.5281132075471697,0.1649881754820114,0.8039960752608739,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.436527836041685,0.34658288439459495,0.3328732426398991,0.7316325157454634,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.800723421947755,0.48388347587422376,0.7266443335714942,0.19622371346483755,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.6104425465838492,0.48408385093167683,0.3345985519369781,0.5923322559484283,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6388350507568976,0.5314742088364461,0.2654437878659569,0.6831105662459168,0.9927261162698757,l_hippocampus,male_P45_nrxn,male_P45_control
