,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.009604321147658537,0.40492880611290627,-5.39784082293742,0.1869265169561011,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.006567839150726493,0.40087119106274993,-5.931576135213847,0.19627694527069198,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.8733277782448274,0.5490018420910687,0.6697122392424592,0.14558553379938124,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.0379363457260417,0.3622365019876968,-3.2552793108182057,0.17305334619703194,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.9645416817273753,0.5809370905216951,0.7314616411426433,0.19235315655965204,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.5518309921353479,0.22406955500250306,1.300279845242497,0.13878450758760072,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.547094905393827,0.20791266549156048,1.3958134752003266,0.11768616688114124,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.19820962835654485,0.49647268240313575,-1.324687292508477,0.18696273561017054,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.5377769647503075,0.8458569027351098,-0.6534056572011873,0.11887483332052852,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.9667738569472375,0.57188956239065,0.7574418859163233,0.16999109746513924,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.9573099480633491,0.587623629209358,0.7040936915010261,0.1943588402381031,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.2821354219238321,0.5806271336419137,-1.041224186259821,0.20447527392144293,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.8153120680882919,0.4707985052129041,0.7922426298411165,0.19061703279309106,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.06329124086424126,0.46253866805909805,-2.869496221368466,0.12458979783274153,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.9947251499369165,0.5947130168543047,0.7421042999697726,0.18679772611669182,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.014452670203023169,0.39874339413875565,-4.7860526508022945,0.20227906853505428,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.9947251499369161,0.5947130168543046,0.7421042999697723,0.1867977261166921,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.9898854278670033,0.6018823282940694,0.7177800944813209,0.19543912951035375,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.9657434594581602,0.5902157161443677,0.7103976646997088,0.20953119761041453,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.8477748493384317,0.47964160217841983,0.8217243693324473,0.10657493705561256,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.8130069808704488,0.4893752956768244,0.7323264659603339,0.1667986339708826,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.6193620498466719,0.21083410177640616,1.5546747501126943,0.05533618603778354,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.8131991243550817,0.48973192797665693,0.7316164063714303,0.16699316230933833,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.004215744774765204,0.39958639518060474,-6.566576126460597,0.19257560179955133,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.23757628977642753,0.601636340095969,-1.3405008497610327,0.13142372054927573,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.007769190762203421,0.3960753208517547,-5.671866665050878,0.18922054603580996,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.9065088227089089,0.4289677009801096,1.079452036807187,0.015460660680701123,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.9881162621696661,0.5966390874362104,0.7278223042811567,0.19853495021603365,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.9941395183898751,0.5928351682596301,0.7458173010906743,0.18531070852305281,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.9589467983206333,0.5613775878687439,0.7724793101455586,0.16977812902585407,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.41709421819799736,0.7407952273341607,-0.8287014903029849,0.11998015249796921,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.6740587282512394,0.30702382612815826,1.1345236754354338,0.0625005763743831,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.9937140859201608,0.5943875224225472,0.7414269847411692,0.18785094194726376,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.8351089474156238,0.5198203181683475,0.6839513969101777,0.16836062185278644,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.22338759911013256,0.5324882727907942,-1.2532006527377613,0.18134930285883702,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.8131991243550815,0.48973192797665693,0.7316164063714299,0.16699316230933853,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.7045454545454544,0.3636363636363635,0.9541963103868756,0.16446868971981465,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.6753610510149443,0.3517357930590943,0.9411668267473874,0.1747567216598423,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.5866645471727479,0.2974683945773663,0.9797994177914314,0.19982389110844523,0.47278834332606356,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.0688489360799339,0.4079105726215918,-2.566746635051502,0.2392579237252698,0.5013023163767557,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.5644834033016426,0.2622544591929577,1.1059638605253432,0.23403037007865432,0.5013023163767557,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.7746012345653417,0.5065750937027657,0.6126776535712872,0.23499946721803067,0.5013023163767557,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.816325553967328,0.556140215739984,0.5536959542201011,0.25302125582760665,0.517810942158823,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.6750444283355552,0.45366058973972656,0.5733691210930396,0.27539046723187616,0.5291829691715614,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.7810574824157166,0.5381053860750254,0.5375399810442291,0.28583929396772734,0.5291829691715614,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.7100870432026651,0.45196488620814446,0.6517851905303166,0.2886452559117607,0.5291829691715614,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.5038641580604502,0.24755981747761951,1.025257671718256,0.28589668692543524,0.5291829691715614,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.8380355938398107,0.5784455632602488,0.534830325116687,0.267984595351371,0.5291829691715614,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.27951184903055715,0.5067985691034971,-0.8585030082667628,0.3182757749938256,0.5386205422972433,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.6058138057626028,0.8499443532066039,-0.48849393372828126,0.3058494505786272,0.5386205422972433,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.3830662397976137,0.14495308563288384,1.4020078399457716,0.3124934976713731,0.5386205422972433,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.17756276992151854,0.4193915709706516,-1.2399687465802889,0.31560144530411444,0.5386205422972433,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6989638229690068,0.4625544038457923,0.5955947266211726,0.3270391791883395,0.543008448463658,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.20159097487591637,0.42732516729020065,-1.083903235389553,0.35241533157697885,0.5650595177201014,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.28673947617661044,0.4963942394065969,-0.7917458354024536,0.3531621985750634,0.5650595177201014,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.7669616519173985,0.5579646017699063,0.45898084686644386,0.39352093175793695,0.5869464744864145,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.4222975400516136,0.2094923180529186,1.0113625010367682,0.3899619364943045,0.5869464744864145,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.23872403428500072,0.4221499385409788,-0.8224116825294397,0.3890658283191145,0.5869464744864145,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.5431986764005717,0.7332329079488276,-0.4327915721754417,0.3867151115410283,0.5869464744864145,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.3882178704304588,0.2179119736354432,0.8331210590943214,0.41500701414194463,0.5930583291492769,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.3956602440014301,0.19438266508365415,1.0253625442872996,0.4114472074271759,0.5930583291492769,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.32899849826007166,0.5181429073005626,-0.6552690591161581,0.41783655008244514,0.5930583291492769,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.4166139594313609,0.23122050638961583,0.8494418277292379,0.44301874352340453,0.5997792220009169,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.7907689296535718,0.6003949775784025,0.397344278221494,0.43205182960473787,0.5997792220009169,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.7491794682444937,0.578062412080117,0.3740860964891283,0.44269124785111813,0.5997792220009169,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.20653724986553446,0.41256627259854356,-0.9982238840887717,0.45020071723666677,0.6002676229822224,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.35037690286984,0.17905605065769983,0.9684964034463255,0.46321503764164684,0.6069083075862329,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.2822957473638034,0.4511994875227,-0.6765580335956668,0.47587128663011447,0.6069083075862329,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.3545212270946685,0.539278307060485,-0.6051579893805412,0.46992158348863977,0.6069083075862329,l_hippocampus,male_P45_nrxn,male_P45_control
