,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_gldm_GrayLevelNonUniformity,0.6163337250293921,0.12432432432442511,2.3096031453494694,0.01198940018355017,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.3836923815696309,0.8756899797810093,-1.190470083698201,0.01199153385459069,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.6163337250293921,0.12432432432428868,2.3096031453510526,0.011989400183531097,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.6160726592190855,0.12418131891232634,2.310652351941969,0.012010767001142626,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.6163337250293772,0.12432432432432432,2.3096031453506045,0.011989400183533273,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.6163337250292784,0.12432432432419774,2.3096031453518417,0.011989400183535216,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.38366627497066474,0.8756756756757114,-1.1905446825077455,0.011989400183536376,0.13555008472718108,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.33940031333505516,0.7977922335942906,-1.2330251822609273,0.033401765403162295,0.32984243335622765,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.47889442432961005,0.8848482642507406,-0.8857224411827309,0.04348166036601366,0.3816723521016755,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.09393508661842043,0.4876471368364984,-2.3761015472816966,0.0591533168272682,0.4673112029354188,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.37398667202844393,0.7522218347665316,-1.008171327238273,0.11790859060280391,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.2751155940051322,0.6129756917236747,-1.155791946968012,0.12032340431472184,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.23486081057695962,0.646704622986195,-1.4613009215982753,0.0771141679037598,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.696691810659722,0.40516955561773643,0.7819948307612568,0.11093525035805588,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.3897787581294524,0.7146004919470983,-0.8744814372820088,0.13837746274826215,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.6910561801187498,0.33034390742830627,1.064834263584128,0.13825571557503788,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.6553513275215797,0.2979241780322286,1.1373233186884935,0.11892659028436534,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.6486190018207996,0.29069820976267635,1.157849102535465,0.10256952507413578,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.6164592508431543,0.26928312331146786,1.1948817176855462,0.12964093254839515,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.6050357288681494,0.25649070706021854,1.2381137832869136,0.13784177676925072,0.5465909778556355,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.5523817291461508,0.23668040313511735,1.222725343554513,0.16953054535296286,0.5580380451201696,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.5925864231675857,0.26705095331687967,1.1499105385218478,0.16429077184400195,0.5580380451201696,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.5523817291461508,0.23668040313511743,1.2227253435545122,0.16953054535296294,0.5580380451201696,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.5523783728222422,0.23666189452789416,1.2228294019566401,0.169505262628852,0.5580380451201696,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.5345535625649518,0.820290380890583,-0.6178001968066051,0.23105502199002764,0.7020517975850841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.46544643743550296,0.17970961910941696,1.3729475227387358,0.23105502198924935,0.7020517975850841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.46661370951883185,0.27862428714849086,0.7439076751870441,0.4191058963687272,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.6440385301446288,0.4545327953600964,0.5027626101400233,0.42646391313929843,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.6541095890410977,0.4821917808219183,0.4399253042858163,0.47554199848020273,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.2156186043571373,0.4831380234055846,-1.1639537342265245,0.2694152455407086,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.6745562130177518,0.47278106508874773,0.5127664161241575,0.4702795992218347,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.2631238660883142,0.5000094917463827,-0.9262133710071002,0.3565752557310121,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.50144919463294,0.6504650234945558,-0.37536794449987115,0.47679803189574643,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.34589041095890405,0.5178082191780853,-0.5821028465819243,0.4755419984801984,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.4985508053670564,0.3495349765054442,0.512303704244558,0.4767980318957533,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.6724312121816283,0.46948916215948344,0.5182948369577881,0.4649447721502784,0.7243662407647022,r_amygdala,male_P45_nrxn,male_P45_control
