,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.4816078573558794,0.1036323510101412,2.216384488804805,0.0643498629808943,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.578121387283237,0.22099421965317934,1.3873638102177819,0.06545065413785481,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.584618242679882,0.22411524001893773,1.3832540917025007,0.06312591198817843,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.6065958840866374,0.24162192489284412,1.3279843374646,0.058510787756140575,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.5064262248155452,0.13874323994347496,1.8679346353139166,0.06965318361712435,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.48901093187118094,0.10077782752948747,2.278688455542237,0.04599937880576564,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.49787038162064623,0.12859777962590285,1.9529044585708295,0.06951257601333338,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2419549786702931,0.6724947455309971,-1.4747843697293892,0.039103875496532645,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.6723876700837921,0.28206321085609937,1.2532747600562404,0.06688609272928082,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.35825333227546796,0.7201555061885117,-1.007328343659079,0.06513112211501536,0.44714035945772956,r_amygdala,male_P45_nrxn,male_P45_control
