,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_gldm_DependenceNonUniformity,0.2800270019042358,0.9257268720982278,-1.7250206539729953,0.00024009766454826718,0.006962832271899748,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.2800270019042359,0.9257268720982278,-1.7250206539729946,0.00024009766454826675,0.006962832271899748,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.2500335963835716,0.8804266659758486,-1.8160808823991765,0.0002159205333400797,0.006962832271899748,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.30480199942425756,0.8867094111105727,-1.540589021108931,0.0007788125235811925,0.012742354881899733,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.7299191230423157,0.175583508737083,2.0555792689047965,0.0011717107937379064,0.012742354881899733,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.7299191230423157,0.175583508737083,2.0555792689047965,0.0011717107937379064,0.012742354881899733,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.3174665712985708,0.8899432732284982,-1.4871086922341228,0.000990831099734494,0.012742354881899733,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.31504910685027365,0.889325980612659,-1.4971356132184108,0.0009463451411287558,0.012742354881899733,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.7630912205254264,0.16445222105944657,2.2141870352087882,0.0013939979567885424,0.013475313582289244,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.41043359042078986,0.914089024692268,-1.1551858708392837,0.00535416885856132,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.5769793723194224,0.07925658656137262,2.863917002298671,0.006242214948594562,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.5769685008092356,0.07923757353229033,2.864235951284071,0.006241234604729258,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceEntropy,0.6303747829606279,0.10350943025923365,2.606447612561519,0.002839857887663799,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.6743664329535054,0.17711641638892411,1.9288347895836657,0.005765848747498308,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.4230314991907651,0.9207624264677066,-1.122063871323688,0.006241234604729442,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.31448912531392115,0.8433794778815514,-1.423171785494029,0.003063611579561608,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idmn,0.4230314991907633,0.9207624264677066,-1.122063871323694,0.00624123460472938,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.4230314991907651,0.9207624264677137,-1.122063871323699,0.006241234604729094,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Id,0.4230314991907651,0.9207624264677137,-1.122063871323699,0.006241234604729094,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.6251274495191828,0.12510271557970737,2.3210372469085603,0.0055648101646306345,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceVariance,0.5945438950742469,0.08582412693220438,2.79232814664461,0.0047402558104077935,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.374872550480817,0.874897284420293,-1.2227134599750684,0.00556481016463062,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.6855108746860783,0.1566205221184483,2.1299062899994468,0.00306361157956163,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_Contrast,0.5769685008092356,0.07923757353229033,2.864235951284071,0.006241234604729258,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.6568662141678848,0.14110465732756,2.2188339560242274,0.0026451266802300995,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.665999524822638,0.1048845268613138,2.666719288607922,0.006266053029893974,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.6961796871737926,0.169797376747791,2.0356455499301638,0.003581736822120282,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.7207970159305958,0.10652246473974011,2.758435323030817,0.0020968016835579356,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.6511115325815959,0.1492040153257445,2.1256183305478453,0.00637401096280544,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_DifferenceAverage,0.5769685008092356,0.07923757353229033,2.864235951284071,0.006241234604729258,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.4216674677069665,0.9278558548444812,-1.137794976040911,0.005461728590312275,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.6205418189853968,0.0720312784143812,3.1068330237673947,0.002307886976279516,0.01732934230512729,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.430317078198585,0.9374117585059636,-1.123282793154396,0.007087808037811893,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.44252117819665737,0.933618555212426,-1.077086732782764,0.00778772406199824,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.6207821527086828,0.13077297371389723,2.2470226650102143,0.008093433663230428,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.5685576189763004,0.08055915920438209,2.8191860315267405,0.007596002459392835,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.5853231490421447,0.1168176142781702,2.324975510602253,0.007781155909505963,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.620782152708683,0.13077297371389718,2.247022665010215,0.00809343366323039,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.567250781845276,0.08076450000721651,2.8121934907922403,0.007831025443046934,0.018054582787206338,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.6200046788933551,0.1378943140500631,2.168716133078178,0.0085454500964559,0.018586353959791583,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.13319621414428084,0.7432506189954509,-2.480295682584426,0.009671717197199664,0.0205229121013749,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.6579641486326582,0.16326879117372722,2.0107599299353915,0.010009519484870801,0.020734004647232372,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.45576897182285525,0.9303215429316042,-1.0294267236480958,0.010645311088153276,0.02153818755044965,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Entropy,0.548064642832333,0.08278916123794212,2.7268322579597584,0.012247487037228385,0.02421662209633794,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.4705647626603604,0.9352740397837115,-0.990995852358313,0.013265893155938532,0.025647393434814494,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.6393115033833963,0.18887845870272724,1.7590608790937308,0.014803698854274717,0.027998300006997833,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.5173572921290658,0.061054530486618,3.0829907064372497,0.015930169165208452,0.029487759944109262,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.7787423803498511,0.259149333729468,1.5873624575002772,0.01679745050787649,0.02984182321375325,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.6056963375603854,0.10526487977747027,2.5245705072392757,0.016807463649125394,0.02984182321375325,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.5378111079563479,0.085991389228499,2.644835445463564,0.017770618478277246,0.03092087615220241,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.5033902237589056,0.05677457757799047,3.1483602265314787,0.019473947630510347,0.032080534717503474,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.5033902237589079,0.05677457757799118,3.148360226531467,0.01947394763050976,0.032080534717503474,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Uniformity,0.49132132783684046,0.9337863068855228,-0.9264255663429599,0.02028079780991578,0.032080534717503474,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.508678672163159,0.06621369311447729,2.941553101263476,0.020280797809915988,0.032080534717503474,r_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.49132132783684135,0.9337863068855234,-0.9264255663429584,0.02028079780991593,0.032080534717503474,r_hippocampus,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.5066055993804125,0.06432080806094702,2.9775055865824567,0.020947381164356557,0.03254325288033965,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.4931918538780456,0.053204835502343076,3.212519695114805,0.022622495477700375,0.034529072044911104,r_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_ClusterTendency,0.49128368307819603,0.053101369223412284,3.2097353572599765,0.02317627977990318,0.034764419669854774,r_hippocampus,male_P45_nrxn,male_P45_control
