,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.27929314134552763,0.8096905619537272,-1.5355905155303151,0.005971097068985408,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.10449400861318914,0.533412373808396,-2.351831067446316,0.018709668450437738,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.8712506378140432,0.44297256748547087,0.9758704491592819,0.020732158337083282,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.8975064965179418,0.4653420874622075,0.9476307054882583,0.017901068061467327,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.09352585779497558,0.5295556963557928,-2.5013452305872494,0.01700410932131495,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.9036008125015029,0.4615476925023703,0.9692058362886316,0.015702620909064997,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.8624655115555022,0.3343021738707634,1.3673140307356935,0.008440992883846721,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.07329262974282891,0.5557587792117993,-2.922718799071089,0.012110512271688335,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.1677769561285487,0.6774091732685633,-2.013482945756833,0.005209031088086063,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.7549240639044309,0.28042598907367555,1.4287114739516689,0.014985146157635154,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.148757403357745,0.6043940956693507,-2.022528096625173,0.010266821751222876,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.7548113820818739,0.2802764594726842,1.4292656010890408,0.014990361216265182,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.10369563709773288,0.5339094495856429,-2.3642398879684396,0.01838147913116567,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.8002692213360478,0.23605998946278497,1.7613318882380566,0.00400635462030888,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.6814386520858199,0.17239974344675496,1.9828261537818124,0.011418709600177766,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.8002692213360469,0.23605998946278212,1.7613318882380724,0.0040063546203087655,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceVariance,0.22785299209056298,0.7952026422539632,-1.803219234930529,0.004088137425097706,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7334911009722505,0.24148588552041472,1.6028405943984745,0.009353229646126223,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.8953082897448086,0.467490886035824,0.9374463051630957,0.01908363330011445,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.11591196103193324,0.5564721270070361,-2.2632799799048255,0.012799397510545029,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.6817623282591703,0.1789096919458081,1.9300373399415836,0.012176236857872481,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.7548113820818739,0.28027645947268426,1.42926560108904,0.014990361216265171,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.6848530956149828,0.22543978627838418,1.6030524069632448,0.015971174368586173,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.782259784054673,0.3193579395874341,1.2924734800446038,0.016369323330625168,0.07297719734653314,r_hippocampus,male_P45_nrxn,male_P45_control
