,binWidth_0_5_ODI_male_P45_nrxn,binWidth_0_5_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.2838793898786808,0.5912058316716264,-1.0583823895632476,0.1859344508751935,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.3367548417264308,0.6048305631279959,-0.8448323549322432,0.2383932718507024,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6981755317077827,0.48215016467627836,0.5341072561779608,0.36063237663188785,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.16571010431371547,0.49203398178178465,-1.5700963823485106,0.12364563976389417,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.7441522845629045,0.3989411019694495,0.8994221184810455,0.35551768786314186,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.7222129981881622,0.36575267704171566,0.9815559618698196,0.12995397435209222,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.7397680867727714,0.3864954361437991,0.9366216861911307,0.32840767126983145,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.7468871923342845,0.4004660453905868,0.8992104340393424,0.3548825804931979,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.24371017168043663,0.5698034105366991,-1.225297791105178,0.19035941647398746,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.24284678562216694,0.5853686824798348,-1.2692991722647526,0.3434958348883614,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.2507974853753282,0.5914086827639077,-1.2376325415250102,0.3619127356488854,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.27781299523140923,0.6559436674775114,-1.239457835633418,0.11530096623864916,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.7105131795511053,0.36477635207861103,0.9618492060493292,0.10562204329302485,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7146669894093693,0.34379268195830337,1.0557323158416632,0.08295218805590036,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.7426342208642529,0.4041466608467935,0.8777728688252461,0.1324106370499553,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.35965694910438795,0.5787543080244161,-0.6863295479028717,0.34927755465588345,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.8044438352047161,0.39792533334272806,1.0154939490837465,0.07356918318667927,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.7475847786834791,0.387789006986096,0.9469652885518995,0.33000504094905997,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.2505235246861673,0.5784548322672995,-1.2072582312833278,0.3693925372627899,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.6413686497326203,0.34585026737967917,0.8910062644098848,0.3235136528018793,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.6451717073567298,0.32148475354609035,1.004932854349096,0.1809135221446057,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.23480113636363636,0.5979022482893452,-1.348470245213491,0.27248902939977593,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.6731874241483246,0.39881272829927156,0.7552967710791471,0.36189016690894854,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.1785851416012328,0.44503163388208655,-1.3172958375420443,0.2819833178031015,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.7465362961565077,0.39985846386110613,0.9007229791014633,0.35396736980316046,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.2962179146163062,0.6244075009974732,-1.0758289741638876,0.17116236110202307,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.6802673174197751,0.3780956217001302,0.8473506351276076,0.3794329304288604,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.2506122655175547,0.5983733113680598,-1.2555888045431784,0.34567890260566386,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.2509243773351276,0.5904716044180937,-1.2346150470065678,0.3629245967469457,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.5789741559759416,0.33493042505618503,0.7896375148762708,0.2538240638701649,0.6328228801827323,r_hippocampus,male_P45_nrxn,male_P45_control
