,binWidth_0_5_vISO_male_P45_nrxn,binWidth_0_5_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.6479350849922029,0.41901570981694647,0.628844945578639,0.29443498548826946,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.5662236019480629,0.6451617126653559,-0.18828893733992477,0.7113167800957163,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.6491250618395448,0.6970003558781201,-0.10266293495987938,0.8346680082894353,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.5419063533381858,0.3092963375757517,0.8090538110942558,0.3525471204771884,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.5629921259842483,0.6393700787401485,-0.18353648551941354,0.7662557070927514,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.7003026096907661,0.6642122461283193,0.07633414156108587,0.8750050891154705,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.6760033418701017,0.6508470133047155,0.05471191213376507,0.9159947782758743,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.4287558490566603,0.38309899974901496,0.16243909359519867,0.8540231467220829,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.5708012263201603,0.44091042367933825,0.3725028498404455,0.6420513603955077,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.5915173691020748,0.5082972249584117,0.2187481775279309,0.7676629022130989,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.6174060981548348,0.5507409274134474,0.16484590860293732,0.7863212131027102,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.6753243831419962,0.35375173294632417,0.9328434327593754,0.21305140465827163,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.4084826308979217,0.49170277504157694,-0.26751176257768405,0.7676629022131225,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.4644240328757405,0.6398069447366652,-0.4621940218780541,0.5417151318120036,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.5355759671242595,0.3601930552638805,0.5723208586317017,0.541715131814336,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.5596494481188969,0.6343313926902454,-0.18071330386559212,0.7711652993088595,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.7410221783403017,0.6707585075135967,0.14372327424425463,0.776352936262903,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.71274617591446,0.5505793811033801,0.3724378109105261,0.46520513981580514,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.31005602207404515,0.32999296600400924,-0.0899063623454441,0.9355445757037475,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.2981727574750721,0.2991694352159584,-0.004814337195971101,0.996871018596104,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.5025322692120895,0.47071113684761057,0.0943742523008674,0.9019947584604886,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.5492422404717576,0.4811539582880016,0.19094398547220603,0.7875440017155719,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.5086206896551762,0.47586206896552313,0.09604668747102717,0.8993678582044915,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.4699032876674525,0.41178759157319683,0.19046350377093796,0.8295726607937048,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.4116173284048177,0.4083901599643111,0.011355613231878788,0.9883867959032597,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.4415067374438557,0.3786579556281495,0.22154021359036224,0.8018601297171756,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.4913793103448256,0.5241379310344769,-0.09310940439147122,0.8993678582044966,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.7018272425249847,0.7008305647840644,0.0020502538376744443,0.996871018595997,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.48493295293850114,0.5186841766957073,-0.09707106523144324,0.896615400812788,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.2981727574751858,0.2991694352159584,-0.0048143371954210016,0.9968710185964612,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.5900271564353581,0.5733080826127324,0.041470738521732914,0.9481737659219152,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.5900271564353616,0.573308082612737,0.0414707385217298,0.9481737659219186,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.4484299379529588,0.413778657223456,0.11602336550690452,0.8892524831579958,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.29817275747508304,0.2991694352159468,-0.004814337195862141,0.9968710185961749,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.4717642006334062,0.5074061110591692,-0.10507494970360316,0.8914813642339698,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4904616856195334,0.4606512560325012,0.09046549218285442,0.9077246871433742,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.29771189383323815,0.2990053868470284,-0.006254616515085892,0.9959379667788231,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.46949054344880436,0.4686396283192025,0.0026171450642851,0.9975835993351666,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.43638116819181416,0.40221560461163114,0.11761978979078949,0.8961486031143825,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.46177095691293424,0.4799459913765773,-0.05569462993757859,0.940640173407451,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.7480165893726561,0.6286017429905858,0.2509239938342882,0.5738318388673431,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.29817275747515737,0.2991694352159584,-0.0048143371955584055,0.9968710185963721,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.25015871349784663,0.4685144108715189,-0.9052497189372171,0.3129005215483118,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.23994812315563802,0.4435328962623708,-0.8863185828063638,0.4104503777830033,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.33582221712052024,0.5239142494213589,-0.6416330225977057,0.37923686849630955,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.3788222978580096,0.6313120858733555,-0.7368321186250516,0.25692601448577024,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.4160594123735269,0.5748060301954834,-0.4662856401795581,0.5223565375067545,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.5255160135398155,0.4153095689189567,0.3395476142168582,0.6597278178607141,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.25015931210550035,0.4685079937624307,-0.9052265063794648,0.3129199395129148,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.8739736150076235,0.5872230938636762,0.5736810193562187,0.223586471230151,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.3542317763582765,0.579042319294245,-0.7089751565603738,0.29990709431350565,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.3474434436680264,0.5631974262400619,-0.6968625838340584,0.38976778933011474,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.47835743796557495,0.35639029057664373,0.42463099799805454,0.6392595384606674,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.3886606965331908,0.655955435918225,-0.7550865828915867,0.24153315382414586,0.9975835993351666,l_amygdala,male_P45_nrxn,male_P45_control
