,binWidth_0_5_vISO_male_P45_nrxn,binWidth_0_5_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.5995100146801474,0.34152344467017604,0.8117992346703039,0.29876305107232703,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.0,0.2,-inf,0.407083822065589,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,1.0,0.8,0.32192809488736235,0.40708382206558924,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.0,0.2,-inf,0.407083822065589,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0,0.19999999999999996,-inf,0.4070838220655887,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.4274113869723566,0.5701176624901045,-0.41563435309563895,0.5220185617619746,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.4444674752100255,0.555545079310886,-0.3218261319851461,0.6659234054926053,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.42950674873614836,0.2863352187103283,0.5849756701485178,0.5322997245392354,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.5398230088495577,0.6197218710493054,-0.1991344143589882,0.7412658045816168,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.515238734349877,0.3328431072814496,0.6303987633532473,0.44533361061555565,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.5809229733084447,0.47181200771268744,0.30013474819367003,0.6862106604219531,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.4985264036340227,0.35762548980524433,0.4792203481551928,0.4711453243253595,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.4056423499038244,0.2439369332795515,0.733700074600459,0.5128510747025035,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.48476126565012656,0.6671568927185533,-0.46075164799450335,0.44533361061555654,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.4916516277861547,0.7510137985706024,-0.6112029955379643,0.25923103608675685,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.415601316561768,0.49910596413648883,-0.2641459191406221,0.7165391460015518,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.9954918014249345,0.7957304155009381,0.32312968966616934,0.40525069246276,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.7866367799219276,0.6854506633335973,0.19864481346952814,0.6568098610295935,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.911414548879612,0.7208710120104989,0.3383662643838917,0.3949808670055359,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,1.0,0.8,0.32192809488736235,0.40708382206558924,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.3302413754587392,0.42545326507041886,-0.36547977960774597,0.6954137582200477,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.5718390804597693,0.48735632183907995,0.23063226086781127,0.7268802484703234,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.4478218942601999,0.3706511257389636,0.2728631709359896,0.7405271357848804,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.42816091954022983,0.5126436781609194,-0.25980328457078056,0.7268802484703216,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.750790229885034,0.6462643678160646,0.21628542641434467,0.6695664070210434,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.2492097701149234,0.3537356321839013,-0.5053109211981583,0.6695664070210265,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.5595442609271843,0.6359535671337762,-0.18466917847809772,0.7259925129487994,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.5595442609271848,0.6359535671337768,-0.18466917847809808,0.7259925129487987,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.005416622895845166,0.20334147391095664,-5.230367035596737,0.4099085149093177,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.0,0.2,-inf,0.407083822065589,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneEntropy,0.0,0.2,-inf,0.407083822065589,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,1.939674891430672e-06,0.2000013959423205,-16.653835681185488,0.40708425589986075,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,2.88747208116088e-07,0.20000025418402143,-19.401763405631193,0.4070837575018326,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaEmphasis,6.87930485278907e-08,0.2000000424241636,-21.471234180906077,0.40708385717985474,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,1.0,0.8,0.32192809488736235,0.40708382206558924,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.9073496389822107,0.7319947114620835,0.3098253620671426,0.43404118599517505,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.5441601136321013,0.39235670339989814,0.4718653636201518,0.4929115962766546,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.508348372213959,0.24898620142935216,1.029751726119072,0.2592310360864414,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.4904140604366276,0.7236121762145842,-0.5612163419083295,0.3034706040522634,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.4956663447746003,0.23363960435700498,1.0850844578036654,0.24712653870452078,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.243941897572271,0.5146958247346651,-1.0771825137522006,0.2545218430355494,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.24920977011495893,0.3537356321839127,-0.505310921197999,0.669566407021104,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.24404306481820703,0.5147300694524422,-1.07668031022091,0.2546546457576654,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Skewness,0.3895283272306026,0.5506456816492462,-0.49939605350627336,0.4724735289216243,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.3042653243928746,0.5647250019451314,-0.8922185784160325,0.2860571346247564,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.4286641705247344,0.652937073418314,-0.6070961233013416,0.3261700633305043,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Range,0.3268847799492673,0.5912599033971956,-0.8550102378090362,0.2766747091950202,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.4574641122849874,0.35380544084663584,0.3707023354249847,0.6704376229984425,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.6184701343374217,0.4221298677565442,0.5510170190969014,0.3937036830256015,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Mean,0.5221904988373192,0.3322941879448113,0.6521151487949851,0.46459979863236445,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.3722252313944177,0.6139682797798403,-0.7219882695311326,0.3052677950618076,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.23102770801806144,0.4998738640172952,-1.113498207622559,0.23844475193228373,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.4489389251515169,0.5285741282516913,-0.23558662188677812,0.7350607429642033,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.454704131785102,0.6660451954124124,-0.5506919631149597,0.3579706715687292,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.7509052349517304,0.6463402848000669,0.2163369355101343,0.6694279219513046,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.2440430648182071,0.5147300694524419,-1.076680310220909,0.25465464575766583,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.42050775286300784,0.643174734916603,-0.6130783363600403,0.3453420129110346,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Median,0.24610748941382132,0.436660102730791,-0.8272221574961872,0.43269224611466495,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.53426295487187,0.6176792491797389,-0.2093078784813657,0.7311095117466008,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.4564219940570826,0.35485797109160017,0.3631266002455926,0.6765509651329181,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.34430216454363594,0.43702212492865156,-0.34403106946007106,0.711545574118314,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.49966309221438515,0.23861108981222814,1.0662945608144514,0.24977998382384958,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.53426295487187,0.6176792491797389,-0.2093078784813657,0.7311095117466008,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.5520261313478162,0.8186431959421944,-0.568498231303578,0.2285004293614117,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.5517200714042119,0.8184451129899856,-0.5689492029246664,0.2251892188055262,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.5500206060382045,0.8173394809628093,-0.571449755534634,0.22202583019600036,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.4657370451281295,0.3823207508202657,0.28473213400074365,0.7311095117466149,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.4567047238661695,0.36280570480472457,0.3320645709509952,0.7009622904877959,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.5134582189720014,0.2800638011236444,0.8744913627206755,0.3091038210883173,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.53426295487187,0.6176792491797389,-0.2093078784813657,0.7311095117466008,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.4657370451281295,0.3823207508202657,0.28473213400074365,0.7311095117466149,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.4657370451281224,0.38232075082024153,0.2847321340008126,0.7311095117465612,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.4657370451281402,0.3823207508202728,0.2847321340007497,0.7311095117466044,0.8834263698438447,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.5444046073111615,0.6209932494254133,-0.18989830909643754,0.7528905097930743,0.8851550588107765,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.4736462422336023,0.3947990052079254,0.2626915840416631,0.7838712807866859,0.9092906857125557,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.40396303638759345,0.3449158978092444,0.2279786620641853,0.79607483061658,0.911296187679506,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5402577473587009,0.4897025992014992,0.1417420021670522,0.8227931612232484,0.9177308336720847,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.449596091790875,0.39259705496229175,0.19558014410678962,0.8135463086167982,0.9177308336720847,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.3834404904185682,0.41357768596015776,-0.10915565876923872,0.8988955459895555,0.9654804012480473,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.3600440169208854,0.3293860712357379,0.1283937439347572,0.8965458421960446,0.9654804012480473,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.38344049041857,0.41357768596015776,-0.10915565876923215,0.8988955459895613,0.9654804012480473,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterShade,0.6206327155991344,0.5949087550282883,0.06107133809332823,0.9131944596909545,0.9688770486965005,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.5395443368534067,0.5131460855461605,0.07237191801040366,0.9248149244297144,0.9693843183781344,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.41430182013403805,0.4306940243431214,-0.05598114861097752,0.9422680019494745,0.9759204305905271,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.5803732826103025,0.5756394745993013,0.011815578112100825,0.985722799518202,0.985722799518202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.3990376781601057,0.40697672386359185,-0.02842130924704818,0.9745247016973868,0.985722799518202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.4722892098453464,0.46457286954296106,0.023765670260062953,0.9747682877636423,0.985722799518202,l_amygdala,male_P45_nrxn,male_P45_control
