,binWidth_0_5_vISO_male_P45_nrxn,binWidth_0_5_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_JointAverage,0.12823750026360425,0.5502220534447972,-2.101195757065732,0.09815258053037379,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.24134011543583012,0.5320968603859582,-1.1406211514382678,0.16982307016431783,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.8035807928433205,0.4264151825883632,0.9141842748179428,0.12690921197403354,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.09515935519418833,0.48564638670160426,-2.3514888266313583,0.13385401552956452,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.8902697168960851,0.5287259546035016,0.7517223336132715,0.13976444016061296,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.19531409526139185,0.6113570301138708,-1.6462190862467398,0.10661718654267048,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.15909639929655228,0.5685354658374335,-1.837349164093048,0.10470664133095012,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.1282375002636046,0.5502220534447975,-2.101195757065729,0.09815258053037375,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.9194641541911843,0.5595878227158553,0.7164287633684556,0.14440974974969878,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.10305988361178903,0.5068988173455979,-2.29821492962314,0.10193816289695802,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.8120334864435611,0.4257008647769129,0.9316992013107396,0.12392476950651664,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.26844234373057463,0.6129677145492909,-1.191198829887192,0.12854607159024872,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.01712994535360654,0.36939632957606705,-4.430577077187864,0.1455425079750848,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.028383935641731528,0.37402847750010587,-3.7200015684551193,0.15672055021656273,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.07093554116688514,0.4368186447700092,-2.622453882271176,0.16980298231464674,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.06611666068787382,0.4392902110010789,-2.7320885849438366,0.16543253388101803,0.2814855172259907,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
