,binWidth_0_5_vISO_male_P45_nrxn,binWidth_0_5_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_90Percentile,0.2875586696476881,0.7806641374972247,-1.4408456616147933,0.008359342176892586,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7663805607131886,0.26050375837671036,1.5567567805877456,0.022728665724548923,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.8471130462930665,0.3024171741613998,1.4860144364396308,0.012752242855143807,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.28205010832964433,0.7377477840361996,-1.3871761912063545,0.008214495249829765,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.8283586587050156,0.31102767170018664,1.4132126134370073,0.017784768019683605,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.3961996711701893,0.8954890167354931,-1.1764480546683425,0.020660417489297662,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3292112397676479,0.7625332519963426,-1.2117866585500165,0.014603783129984449,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.8302566516944978,0.3003829470690363,1.4667544636259502,0.015780951505980984,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.2771389494722319,0.7380601493778256,-1.4131289124624034,0.007961535023769695,0.2222358426400339,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.6512291664011803,0.28113841679516227,1.2118847070745422,0.037729051148459425,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.36200235919813906,0.7759331864199626,-1.0999333315613573,0.03880643172090729,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.3618896616020807,0.7762756951149865,-1.101019224403102,0.03864364666994792,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.40854772313460685,0.8168332259260402,-0.9995369394045137,0.041153169684943716,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.10763980455625632,0.599120563007976,-2.47663467394963,0.03697159958788674,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.3618896616020806,0.7762756951149866,-1.1010192244031027,0.03864364666994776,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.290941717363128,0.7234780983272624,-1.3142191675739254,0.03678844526732063,0.22634243326719045,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.8601633471080246,0.38755236783846775,1.1502193900489932,0.060464593496969095,0.3129931898666636,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.6763931523022433,0.32057142857142856,1.0772162054279633,0.0708933401805374,0.3465896631048495,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.22958362212378342,0.5814319500643383,-1.340590622972154,0.0761257013473179,0.35258219571389343,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.17282631028776319,0.5512751762669929,-1.6734497753049018,0.11483764863396403,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.8101031226255544,0.4380422305377987,0.887035605436797,0.13114594229482196,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8055705371908566,0.4530285844193408,0.8304088375731907,0.13269015103244236,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.8055731467592215,0.4563512705554686,0.8198708448087038,0.14757536937323393,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.33580362604596914,0.6674256562121201,-0.9909893368379639,0.14376835842542746,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.803575108180504,0.45209148980012087,0.8298181148182011,0.14267125551493287,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.1668919623428713,0.5155370826909869,-1.6271617297157832,0.13400360889038274,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.17630955867233955,0.5570726604585406,-1.659754821467241,0.11534847903398844,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.7674978195144782,0.42646388361788184,0.847739084016883,0.1156117710420499,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.8010736473141629,0.4548375030363811,0.8165836693126086,0.14855119455435872,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.179652720341256,0.5422518192543808,-1.5937522070331613,0.13962061373838414,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.17700505880964623,0.5584812289232811,-1.6577181980300586,0.11521989935278969,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.1448900045795103,0.5756879387134773,-1.990328914362809,0.08595911537506418,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.1992065089127184,0.5456486036131579,-1.4537073709727566,0.14851953910550642,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.800293482259443,0.453483817540744,0.8194780902422127,0.14846436361094228,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.1285289047880651,0.5358251389677668,-2.0596694260485156,0.09343157407905345,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.1991511068865357,0.5455524740585005,-1.4538544708360852,0.14852575682312036,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.8007103302276115,0.45420710172911144,0.8179301556080553,0.1485102451071213,0.35331094921036665,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.3866832947187788,0.7022726864646529,-0.8608788861930049,0.15904127903044055,0.3683061198599676,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.38645412949917457,0.6847883873657793,-0.8253610543391758,0.17390655605065575,0.3770733838419396,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.6135458705008041,0.3245577132135026,0.9186961653882779,0.18425176710458413,0.3770733838419396,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.1392102463480991,0.47472495269887355,-1.769826480961217,0.17968276244727074,0.3770733838419396,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.1415779958677686,0.40975,-1.5331468909607027,0.17614022227595685,0.3770733838419396,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.6135458705008006,0.32455771321348265,0.9186961653883581,0.18425176710457292,0.3770733838419396,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.24808170265228036,0.5407795155801637,-1.1242251714831262,0.19537682104663145,0.38207022782452377,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.1941448429488556,0.4763712537256418,-1.2949529718700956,0.1940405553747504,0.38207022782452377,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.9911554820148587,0.7432013391865769,0.41535828860289675,0.27907083818389905,0.5338746469605026,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.29813961576799014,0.5163262214756797,-0.7922947783765342,0.2951737594208768,0.5411518922716075,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.950088370968009,0.7173517297294274,0.4053810394129953,0.29465464240544426,0.5411518922716075,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.04335774459237385,0.27523119578756833,-2.6662823832134195,0.30338760645296703,0.5448593748543081,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.7949556541019955,0.5848780487804879,0.4427385392661162,0.31878172909820013,0.5610558432128322,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.10378787878787879,0.30888888888888894,-1.5734500127917597,0.3456787317623497,0.5750043908283181,l_hippocampus,male_P45_nrxn,male_P45_control
