,binWidth_0_5_vISO_male_P45_nrxn,binWidth_0_5_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.7924069759221211,0.44192571138924164,0.842437710961257,0.09419471938010229,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.21962674072819777,0.5357601343114823,-1.2865335139759546,0.13967705617824136,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc1,0.8851908009288305,0.6057428817841259,0.547282912101396,0.19666203962819903,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.11617914085768019,0.3964213127424897,-1.770683461706299,0.193502571835319,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.7803732592717987,0.46423986568851505,0.7492939259478826,0.13967705617824275,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.11468524499277127,0.39431280077447567,-1.781660755004276,0.1948859424268701,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.4158702312553384,0.7664789507155263,-0.8821127547307805,0.14721976403656908,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.7831856388641194,0.4650618071564997,0.7519318462357424,0.1364920300737361,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7462598423552409,0.46190634354096716,0.6920776946607724,0.2183304994880674,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.17392609944280507,0.4639183573826712,-1.4153964947012934,0.16769204320326309,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.24086489117298232,0.5061272821210263,-1.0712761234960682,0.21725546813758395,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.1526225636813504,0.45107383858581984,-1.563395349337441,0.1471330734846739,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.22674984558369538,0.5346017433095639,-1.2373629738641057,0.1550250303893786,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.7590652991860575,0.4514282144099514,0.7497274096925459,0.14866153387641978,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.7766535053249308,0.48232119514279664,0.6872768916801777,0.16159822432307344,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.7812709590878608,0.464587525150905,0.7498725720234106,0.1386939658772057,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.21480627078066616,0.501671263266982,-1.223706189872995,0.17140365111427952,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.8224867309915029,0.5118920374570248,0.6841528391278063,0.126853206527285,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.8486749695945244,0.5177282296930276,0.7130171430843782,0.10964257252377259,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.7906422766424617,0.49898640009211614,0.6640246046004484,0.14993338358138722,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.0,0.36,-inf,0.19702207215775067,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.7499999999999973,0.427642276422764,0.8104861116554518,0.21826045064424623,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.2339529464581579,0.5378298932156109,-1.2009315456683944,0.1592712022063478,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2200145566072984,0.5248166023166021,-1.254214381105526,0.13306451993633953,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.25000000000000266,0.572357723577236,-1.1949890184106802,0.21826045064424662,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.7149486764094881,0.3288557634697712,1.1203847248071697,0.11463555855739942,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idmn,0.21962674072820576,0.5357601343114936,-1.2865335139759324,0.13967705617824006,0.40027258239479024,r_amygdala,male_P45_nrxn,male_P45_control
