,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.4348516344151624,0.4802091144654693,-0.14313952988603224,0.8439715212916539,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.5426943241882649,0.5778146720092259,-0.09046701740892821,0.90084099132045,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.5822267850406282,0.6001660867447937,-0.0437805882407096,0.9518827489383413,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.625,0.4,0.6438561897747247,0.377567540455956,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.75,0.4,0.9068905956085185,0.35581957250178897,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.25,0.6,-1.2630344058337937,0.35581957250178897,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.4166666666666667,0.4,0.058893689053568614,0.9553496939128692,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.667648632345931,0.7254776414001928,-0.11984210614535705,0.8083688540544124,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.4973503664488268,0.5606852348475051,-0.17292853858000098,0.7966485453146277,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5191703926708776,0.5139635348966136,0.014542105900394002,0.9845352557467291,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.5996668249514048,0.6610921344542346,-0.14069018832177224,0.7982512837792748,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.6004795117698345,0.6812554489973838,-0.1820808418377889,0.7411861386888567,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.5681474744209309,0.6674667705359463,-0.23243055515342603,0.6812273483979685,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.5571503891639201,0.6680878204446077,-0.261970957592401,0.6458429334275433,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.3929451097250265,0.315787515614565,0.315373660694103,0.7551756241564305,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.4182997589685531,0.4075613326108183,0.037519984399808116,0.9707327580335365,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.31473350374185816,0.2964132779941635,0.08652068794909734,0.937373128883996,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.5129590182664038,0.537737907531526,-0.06805960768801352,0.9277510410789527,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.5817002410314451,0.5924386673891803,-0.026389903812209275,0.9707327580335358,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.37169817719734644,0.39276601849372417,-0.07953850205553692,0.929746811057643,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.6571253565616644,0.7984939335608943,-0.28111283440112217,0.5553914594363218,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.375,0.6,-0.6780719051126377,0.377567540455956,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.5625,0.4,0.4918530963296747,0.6638821432911914,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.3135315213963137,0.4392859902938923,-0.4865499957552578,0.5983790872937036,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.48694029850746157,0.4208955223880597,0.21028273905844994,0.8229679996009327,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.354416106445371,0.25345887609966306,0.4836924808602858,0.6798801268368215,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.5387928921193106,0.5188379062455958,0.054446931962727256,0.9402946670205294,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.3844972663297205,0.30583228898406656,0.3302326102965502,0.7506992370903043,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.5130597014925402,0.5791044776119421,-0.17469693888773966,0.8229679996009325,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.6734314804622912,0.6108420473307661,0.14073178995670554,0.7974085686617634,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.3265685195376946,0.38915795266923964,-0.25297011465456787,0.7974085686617025,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.9958517529392202,l_amygdala,male_P45_nrxn,male_P45_control
