,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glcm_SumAverage,0.6525031288502383,0.26805403689231183,1.283460957394429,0.10143108575326386,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.3582098166502612,0.7080494367368513,-0.983045219708639,0.08117941939415683,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.6605386783893982,0.34830677142897964,0.923284521529275,0.1545972226511345,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.6497686449263682,0.35821550244600076,0.8590983530133655,0.2275484787939886,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.6525031288502419,0.2680540368923232,1.2834609573943754,0.10143108575326928,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.6552799500698594,0.3074051188878542,1.091970200655336,0.07725063201921531,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.34458850192677204,0.6926127495743742,-1.0071743816536456,0.07600385100802093,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.6597725298076262,0.34571931446033605,0.9323675057531196,0.1501072899578955,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.7596523138253977,0.4694698691376786,0.6943066929996538,0.1698476085057184,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.3432657922029101,0.6983469015181271,-1.024617774313099,0.06310288382342172,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.6610274586570597,0.378198468799269,0.8055666793016386,0.23002661596641236,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.6234864493358145,0.13945336665528885,2.160575441260193,0.035503607471826674,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.3765135506637307,0.8605466333439835,-1.1925515863676497,0.035503607472034286,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.7034595012305394,0.3600194974568243,0.9663923284275169,0.1694518727489353,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.7599027494518147,0.36486195538844723,1.0584640705346195,0.05022287350834287,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6779965608009277,0.40728626341780794,0.7352347979284436,0.18481815373562963,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.5548819061549359,0.9278261475501879,-0.7416737444074368,0.0717439925144821,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.6763353010326405,0.262123755346434,1.3674905506516613,0.09753764999741181,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.551853929957451,0.282829132962393,0.9643557176807716,0.20711465914305643,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.4407940240697199,0.7051351808302989,-0.677795196648196,0.21639197566279278,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4335708732664534,0.6931471759394541,-0.6768938707755031,0.22617218415547033,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.5443703352400968,0.27073415603239326,1.007711540609457,0.19832379286853297,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.5555555555555536,0.2888888888888914,0.9434164716336148,0.21173200379820264,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7015650080256837,0.30876805778491134,1.184053279464746,0.11120829770507636,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3224544923095545,0.7952103533775471,-1.3022409716909826,0.05801570031569554,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.44444444444444464,0.7111111111111115,-0.6780719051126377,0.21173200379819573,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.3502313550736176,0.6417844975540448,-0.8737806920778585,0.22754847879392828,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.35023135507333336,0.6417844975535445,-0.8737806920779045,0.2275484787939982,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5882143258855628,0.25600777394423135,1.2001543014716152,0.18692552271031232,0.47821322793017307,l_amygdala,male_P45_nrxn,male_P45_control
