,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.5161281579287028,0.2137846368869254,1.271571159541579,0.14112091734902577,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.34407775114595296,0.3622198783286777,-0.0741311152454938,0.9358853734185142,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.5462256108415247,0.25247392269568536,1.113362575485444,0.21188210042292988,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.40878817705877846,0.6171482957575464,-0.5942637276533063,0.3880502034474056,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.5117728531855974,0.49639889196676423,0.04400372697589902,0.9463965152775017,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.43384380373827014,0.29063314136168544,0.5779764992193296,0.5257603700343748,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.4435559662668469,0.3905182905291745,0.18372602917927847,0.8128120895100059,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.4761057758005123,0.4981467978335303,-0.06528881889662896,0.9216599354826142,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.5584704275809855,0.3133693004467631,0.8336170367911981,0.2446201005704499,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.5847500658823854,0.3649381954594645,0.6801679637712471,0.36077203063609015,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.5439629043850722,0.647264910499041,-0.25084802459387945,0.6571101409109414,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.4481492114552532,0.6434816933088264,-0.5219199470252438,0.45293143074130315,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.4152499341176181,0.6350618045405412,-0.612917063244922,0.36077203063608154,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.6897367475065721,0.5135466540638844,0.42555048542175905,0.5288037130758438,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.3102632524934279,0.48645334593607004,-0.6488086132076691,0.5288037130759186,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.5082269739321017,0.4981642683403223,0.02885140226225404,0.965207101360489,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.564772865949621,0.6352357333305008,-0.16962129218765368,0.7676551542366602,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.22983881234878645,0.4210627523213354,-0.8734128156139184,0.38045866547967894,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.6177138928197365,0.5899591014170582,0.06632383436335565,0.9133839388242486,0.9765755200356148,l_amygdala,male_P45_nrxn,male_P45_control
