,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.3350562490962899,0.7598522196794221,-1.1813155475017456,0.022509160771525615,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.32283630128066837,0.7262018460226313,-1.1695677861386202,0.027597322967245864,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.2414093434892999,0.6590846567256727,-1.448982270271337,0.027561377230940647,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.2899671318346896,0.753089436744531,-1.3769318311542285,0.013427093354293684,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.75,0.2,1.9068905956085185,0.022181931864268697,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3382835787180701,0.7863239981641978,-1.2168907391346802,0.018478485166818295,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.24085788927207438,0.6574897558305584,-1.4487862363335238,0.027582369713111506,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.25,0.8,-1.6780719051126376,0.022181931864268697,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.2414093434893,0.6590846567256727,-1.4489822702713366,0.027561377230940674,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.28474928190519533,0.7013273528418642,-1.3003957927480478,0.025242807645960135,0.24009670981503903,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.35211479607565277,0.7397302036549099,-1.0709533317560271,0.038607065900881046,0.2799012277813876,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.647885203924349,0.26026979634509145,1.3157303103132303,0.03860706590088067,0.2799012277813876,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8284505732904979,0.4386461145223272,0.9173581370963881,0.045288603338652415,0.30308526849713535,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.7101048758816788,0.3441913667966855,1.0448212016489273,0.05738833503199872,0.35662751055599207,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.15760922953501136,0.513133272115518,-1.702981553539776,0.06981457603659875,0.40492454101227277,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.6602380746852556,0.32377147976494525,1.0280104306911864,0.09341730428135255,0.45151697069320396,l_amygdala,male_P45_nrxn,male_P45_control
