,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.6097454716837053,0.5773739243451218,0.07870118547039408,0.8888029219890022,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.7026094882375504,0.46050468528200456,0.609507224547427,0.45403472321193306,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.7491686347293111,0.4654629016571117,0.6866243132362969,0.42750487922437164,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.625,0.33333333333333337,0.9068905956085184,0.11536428476127131,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.75,0.711111111111111,0.0768155970508312,0.9048082740807426,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.25,0.2888888888888889,-0.20858662181141757,0.9048082740807428,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.24999999999999997,0.4222222222222222,-0.7560744171139109,0.596503284515289,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.6244715322303636,0.5347705360576842,0.2237158249377057,0.6669869100610266,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.5547158233337823,0.5188003227503512,0.0965695019916485,0.8925640701430386,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.7152416542179159,0.43825171717683614,0.7066710147641566,0.40686342060292263,0.999160420521578,l_amygdala,male_P45_nrxn,male_P45_control
