,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.385705601618096,0.08123452347407048,2.247335211483919,0.16393835501389054,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.4553458691234743,0.7479813485076685,-0.7160394997364617,0.2128968518693247,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.5452870145960639,0.3044650222048056,0.8407393028870611,0.29057500812000814,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.4553458691234743,0.7476364122269683,-0.7153740384354836,0.21347896400723562,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.4917831027756808,0.7972663696081207,-0.6970396483567324,0.18161893901729192,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.4746755363406789,0.7757392825641466,-0.708630161369881,0.19336815507005317,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.5446541308765256,0.25247856653326295,1.1091794534078974,0.21367338048145268,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.5446541308765256,0.2524325750291695,1.1094422787234839,0.21359559113957488,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.4904846710758828,0.19339415596203807,1.3426638494528815,0.19541493112807762,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.5446541308765269,0.2521778528526454,1.1108987942126016,0.21316530707491602,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.4931601676879514,0.7663469580025106,-0.6359414310692286,0.2121984620042049,0.7822164775407255,l_amygdala,male_P45_nrxn,male_P45_control
