,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.4880067114558444,0.11623618649507642,2.0698417124405744,0.09797614073148513,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.0,0.36666666666666664,-inf,0.19569983732470886,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.0,0.34400000000000003,-inf,0.20156727029687213,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformityNormalized,1.0,0.656,0.6082322800440034,0.2015672702968722,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0,0.2799784157359859,-inf,0.2480254724448457,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.28226469505166046,-inf,0.24533849123139687,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.0,0.2814827799324323,-inf,0.24624714127999453,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunVariance,0.0,0.2794110962830089,-inf,0.24870648245136304,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.0,0.2704545454545439,-inf,0.26023129220662805,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,1.0,0.7307761013562413,0.45249864075037444,0.26193131253058405,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.0,0.27632386867271636,-inf,0.2525132578913398,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.0,0.29638846086920123,-inf,0.23068994485854596,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,1.0,0.7183823661705105,0.4771761576014389,0.2460896685798828,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.7249564202005757,0.46403382286354056,0.2541425394490033,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,1.0,0.7249843633143257,0.46397821591448807,0.25417843374976307,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,1.0,0.7249619652651631,0.4640227879842511,0.2541496612177354,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.0,0.28161763382948946,-inf,0.2460896685798828,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.0,0.2818431671905687,-inf,0.24582701683645047,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,1.0,0.633339010954727,0.6589501489446482,0.1957008344591148,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.31428372281048017,-inf,0.2164815691506202,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,1.0,0.6333390092114813,0.6589501529156206,0.19570083415292394,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,1.0,0.6333333333333333,0.658963082164933,0.19569983732470875,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.0,0.3142777768344661,-inf,0.21648556449196088,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,1.0,0.7199999999999818,0.47393118833244896,0.24799967531410863,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.0,0.7394622645730123,0.43545156771506355,0.2747622645032848,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,1.0,0.7392824950424256,0.43580234172101906,0.27448168538108303,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,1.0,0.7394265232976067,0.43552130082983964,0.2747064292230127,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.0,0.28000000000004094,-inf,0.24799967531408132,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.0,0.28001637107776267,-inf,0.24798011438790324,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,1.0,0.7199836289222276,0.4739639921396821,0.2479801143878914,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.0,0.2880662763735131,-inf,0.23892415824435717,0.30397204056314236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
