,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glcm_InverseVariance,0.3792756469588028,0.611642971031506,-0.6894430268269708,0.32752011480925003,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.3792756469588028,0.611642971031506,-0.6894430268269708,0.32752011480925003,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.640097406074065,0.3929742788437302,0.7038565746987342,0.3068124569225679,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.3792756469588028,0.611642971031506,-0.6894430268269708,0.32752011480925003,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.39411764705883456,0.622352941176473,-0.6591066267688562,0.3422822761164699,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.14138013263389126,0.6283238728260017,-2.1519289950878786,0.022194463368949684,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.620724353041453,0.388357028968494,0.6765691707780631,0.3275201148088402,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.620724353041453,0.388357028968494,0.6765691707780631,0.3275201148088402,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.6593475593609099,0.4023924904172304,0.7124357667271177,0.2925233517042828,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.6207243530404867,0.3883570289683121,0.676569170776493,0.3275201148103712,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.1838682526672244,0.47071708901083864,-1.3561878293748075,0.12546973929950622,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.3280893266472731,0.5883248120094777,-0.8425242206709074,0.27456545391463355,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.03566919191916895,0.30765993266013536,-3.108586132817973,0.25776935115958766,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.6719106733527127,0.41167518799054503,0.7067629489331702,0.2745654539147213,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.964330808080831,0.692340067339319,0.478047296806238,0.25776935115825084,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.7812500000000036,0.5553571428571444,0.4923684365890912,0.33680768375481673,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.3930411971521153,0.6218470150639177,-0.6618791580355239,0.34178477133043456,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.6207243530411688,0.3883570289681302,0.6765691707787541,0.32752011480877546,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.16993544124293614,0.47518556000190415,-1.4835042278106148,0.1339314408931201,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.6657674992067513,0.40806445268289054,0.7062214041110926,0.2891341885739473,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.2953485273592591,0.6376257157400402,-1.1102913965200505,0.15542295909398385,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.1895468537438667,0.529672732089739,-1.4825467299745703,0.13212965731024726,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.21875000000000355,0.44464285714285834,-1.0233639930654908,0.33680768375482933,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.9643317294776352,0.692341948165813,0.4780447560165958,0.257770356198956,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.03566919191919191,0.30765993265993263,-3.1085861328160935,0.2577693511598001,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.05199860930631722,0.46880422488651285,-3.1724406272001584,0.0971407301380408,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.1691608834708622,0.5266228646710006,-1.6383741608041995,0.1447587782736591,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.7753543679860702,0.5509726142629432,0.4928752181456958,0.3404245741774399,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.21305672703008227,0.4403931726961588,-1.0475544996071116,0.33339602054835255,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.035659978568446604,0.3076411248384375,-3.1088706317034553,0.25777940315603237,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.8779864792206598,0.5462613490264607,0.684607374682706,0.1021753127709606,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.09114154177177436,0.4530235590915138,-2.3134053974592703,0.10620352700705296,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.21683752452793748,0.4432180252195451,-1.031402113539634,0.33565215968825524,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.7793011006031545,0.5539051743919202,0.4925418381281958,0.33799346054082396,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.09481965201270834,0.4458126169865023,-2.2331794435204726,0.1422180388389805,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.03566919191894158,0.3076599326595897,-3.1085861328246107,0.2577693511600287,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.03566919191848683,0.3076599326588621,-3.1085861328395916,0.25776935116067223,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.35447334047749024,0.5859543521877952,-0.7251111500858499,0.2750687699044814,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.9657365729253797,0.6681170008827394,0.5315289440681711,0.24057612613090978,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.20539978960146144,0.6268325238892516,-1.6096453337070213,0.10707537910918741,0.676007495330028,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.7054941627952278,0.4819272514784686,0.5498187628474943,0.3886088043847025,0.7309546558664738,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.7054941627952278,0.48192725147847143,0.5498187628474858,0.3886088043847076,0.7309546558664738,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.7842204448048635,0.5786816391453866,0.43848938383146274,0.3988422276944832,0.7327566508805621,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.7448415369552066,0.5550726123154902,0.42425701747027117,0.4302879716609076,0.7389728208959647,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.7516105111611964,0.5582523513739404,0.4290678200436766,0.42507990496038073,0.7389728208959647,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.7448415369552066,0.5550726123155016,0.4242570174702416,0.43028797166094146,0.7389728208959647,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterShade,0.2633243014224624,0.4479118826984657,-0.7663742705055957,0.445665496777229,0.749097324370236,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.24933082780146698,0.41612583991051577,-0.7389586055262697,0.47384055757477783,0.752337469515659,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.2571612109544539,0.4332643456308702,-0.752574469220207,0.4761629553896577,0.752337469515659,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.1949586029442223,0.36735643159100134,-0.9140127152252422,0.4651327324973844,0.752337469515659,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.2220826851724258,0.38359796510506927,-0.7884981506566578,0.48930720204388833,0.752749764724435,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.7545284144639108,0.5773753771333375,0.3860656481901275,0.495480857793299,0.752749764724435,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3177317537184301,0.471746059198496,-0.5702011876922274,0.5060048619214323,0.7542336621093048,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.28661897113030577,0.4426934540189535,-0.6271739370337711,0.5166125397966357,0.7557850119247078,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.23541373214147754,0.39657708925732604,-0.7524028556777199,0.5281051566689439,0.758551043215392,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.521719888663369,0.3598780326488039,0.5357673906308208,0.5508097300360502,0.777035154872285,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.5665046440856027,0.438418019835046,0.3697806859090274,0.581116237816359,0.8054067155700415,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.7401631402706172,0.6154918994067486,0.2661034227032697,0.5947111569854242,0.8100376103766984,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.6961892508116421,0.5993993991645084,0.2159619012669355,0.6778160700493124,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.4777892561983492,0.3652203856749452,0.387607117871398,0.6366702994761493,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.6840768352004041,0.5963158213547587,0.19808176244497677,0.7087427712758998,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.6843432625120278,0.5960077723549393,0.1993890093615227,0.7064798191110714,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.35598532967200724,0.4438736880827377,-0.3183314029547141,0.7088695174774907,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.5151255772021286,0.3965250440438159,0.3775121873708187,0.6180175591652945,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.2932236428013888,0.3987093200613616,-0.4433358960179985,0.6545491430228241,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.29162198376554893,0.39805662602556174,-0.44887419714179444,0.6518419245723519,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.6828876842315452,0.5954938094655347,0.19756180493158573,0.7097210740294055,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.3035910468219001,0.40015552075844596,-0.39843156856951056,0.6788816697074271,0.82452889482828,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.6350547837768126,0.6955698986236701,-0.13131444704229564,0.7936010485103613,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.6435623183315329,0.7146639865182806,-0.15118523326027092,0.8001422141974613,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.356437681686657,0.2853360135050025,0.32098801572231894,0.8001422141998744,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.3474236834929891,0.41880632529979583,-0.26958712734470525,0.7611306175306041,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.34742459389030433,0.41880910630947843,-0.2695929268077889,0.7611247052436563,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.3474245938903043,0.4188091063094784,-0.2695929268077889,0.7611247052436565,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.40504623200711987,0.3441556046707829,0.2350255818769017,0.798144519643718,0.8428164656238678,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.42645729439590596,0.48784749732871263,-0.19402895051121757,0.8232667979802023,0.855764171584684,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
