,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.20409529191790377,0.7803458075003803,-1.9348706883268683,0.005343839095737175,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceEntropy,0.6428703645813094,0.22694666943701236,1.502174529943621,0.03733740674057368,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.6439007638940026,0.22359172706549657,1.5259715523334563,0.036010308728353056,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.7275442957837583,0.26676119468697834,1.4474862723874267,0.045596920972389876,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.7275442957837583,0.26676119468697834,1.4474862723874267,0.045596920972389876,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.7275442957837868,0.2667611946870238,1.447486272387237,0.04559692097237531,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.7275442957837797,0.2667611946869499,1.4474862723876225,0.04559692097237857,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.642212328506139,0.21884115670545318,1.5531662742943348,0.03535528415933317,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.2724557042162239,0.7332388053130344,-1.4282614439389552,0.04559692097238292,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.34120999617875825,0.8326677926647733,-1.287081109184977,0.01833244113787178,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.2724557042162239,0.7332388053130344,-1.4282614439389552,0.04559692097238292,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.6598137270658739,0.17250891824719475,1.9353878454281042,0.018851472577128964,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.27450645340486446,0.7694687723877024,-1.4870227122406445,0.027246483566668592,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.704827639968876,0.22526623347784494,1.6456394254980327,0.01499506932227794,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.9111759880997852,0.3803610366987414,1.2603602612742746,0.049266924680569216,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.28986236432140444,0.7385863076002508,-1.3493984908722554,0.04882991046840428,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.6436366613655164,0.21319052319809337,1.5941031954524327,0.0324147725737726,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.26598632950458345,0.7540510895468294,-1.5033101747153488,0.02604219095778602,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.2282851176481273,0.7068685156321024,-1.630605074258888,0.03404188188957684,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.2917835109366216,0.739540100953441,-1.3417300213991437,0.04921057222707652,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.224908795762655,0.7499863110736584,-1.7375241801142949,0.024550129682543716,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.2785243629255092,0.8019870627124057,-1.5257754362836593,0.016169246595080577,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.7416518079467214,0.2750625512610069,1.430982291190353,0.033543344518472365,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.2745064534048609,0.7694687723876996,-1.4870227122406579,0.027246483566668103,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterTendency,0.7538039697346495,0.2815695834376754,1.4206978974236322,0.025199273719585753,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterShade,0.7209578523107815,0.23189578887378876,1.6364382994821882,0.027117114763522136,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterProminence,0.7551585397485745,0.28428532750797186,1.4094399182293846,0.02506791923580393,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.29991207133656594,0.7535101937486559,-1.3290874379839843,0.040920032813959235,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.7239057239057249,0.2370370370370381,1.610689325839521,0.02031322081495265,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.08666457060715516,0.5914061564258191,-2.770635031622617,0.04059195451504749,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.08666457060726884,0.5914061564260009,-2.770635031621168,0.040591954514953385,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Skewness,0.7973949698268352,0.3085362522598024,1.3698544919761981,0.0030802922911995767,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Entropy,0.9133504537804242,0.40861886765992494,1.1604127095028742,0.04059779674909385,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.913335429392589,0.4085938435739763,1.1604773316236887,0.040591954514959755,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.8024605456945721,0.270705817591935,1.5677045694181297,0.00573080888314093,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.2760942760942715,0.7629629629629591,-1.4664520463150863,0.020313220814952057,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Contrast,0.2724557042162239,0.7332388053130344,-1.4282614439389552,0.04559692097238292,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Maximum,0.13867474043979455,0.5454982405531247,-1.9758695181506727,0.05044771399543195,0.11549871362112052,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.7072721797238941,0.282927035326054,1.3218354733360127,0.05867802360267757,0.12451190374226705,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.45696036450149696,0.9680351882832706,-1.082990455453959,0.05860410302559775,0.12451190374226705,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.6993734861632923,0.2538096237102586,1.4623163303455777,0.05639400218141267,0.12451190374226705,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.41812559335116517,0.873099965322988,-1.0622104912081605,0.060832015390339514,0.12502815743789558,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.6337096559704314,0.23179605723916907,1.450965971482874,0.06196948542647869,0.12502815743789558,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.42615562321622313,0.8722305392193453,-1.033329135024128,0.06323263134790122,0.12502815743789558,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Median,0.27982085023375036,0.7012529779386814,-1.3254315265303978,0.0829250198672866,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.4984270186475924,0.9984832999631748,-1.002356022362648,0.08830441891727511,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneEntropy,0.5,0.0,inf,0.08922429896478236,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.5,1.0,-1.0,0.08922429896478236,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.5,0.0,inf,0.08922429896478236,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.4999999999999999,0.0,inf,0.08922429896478246,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Range,0.13010629718766042,0.4904585193161843,-1.9144403345553258,0.0767271145049701,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaEmphasis,0.500000000005228,1.1866514333689496e-10,31.972384728483473,0.08922429901656319,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.5,1.0,-1.0,0.08922429896478236,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.5001404963297328,0.0031848513251521242,7.294963588097261,0.09062798791392389,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.27375248262510965,0.6790783770826266,-1.3107060470033718,0.07388698841927994,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.5,0.0,inf,0.08922429896478236,0.1407970526519889,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Minimum,0.8758454847214114,0.5477729782264744,0.6770982749884238,0.12132731768193088,0.18518380067242082,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformity,0.3797225274170106,0.7445582380788786,-0.9714391075572756,0.1280550486221138,0.18567982050206502,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.37972252741700974,0.74455823807888,-0.9714391075572815,0.12805504862211228,0.18567982050206502,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
