,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Contrast,0.30729114579828876,0.7287001053368762,-1.2457190011273902,0.04052555506803847,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.2589210330977898,0.6962901037474738,-1.427176353403786,0.04578731191229572,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.3088996205588126,0.7303667931470613,-1.2414830744358423,0.04184754534095311,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.6748236033364821,0.2527827288834253,1.416612539472653,0.04324027932626862,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.6957309038858159,0.2625197246829799,1.4061035804537538,0.03612474193509346,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.30729114579828876,0.7287001053368762,-1.2457190011273902,0.04052555506803847,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.2880992145948328,0.6941472079359676,-1.26867592039054,0.04042756176371196,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.6927088542017117,0.2712998946631224,1.3523606270045097,0.040525555068039,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.6927088542017117,0.2712998946631224,1.3523606270045097,0.040525555068039,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.6965822669573782,0.25473133794778385,1.4513172904346165,0.03362109101121031,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.6927088542017223,0.27129989466313303,1.3523606270044752,0.04052555506803415,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.600500593450487,0.11734015166759937,2.355468909815354,0.04627897818825853,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.30729114579828876,0.7287001053368762,-1.2457190011273902,0.04052555506803847,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.3434035679035201,0.8130482006557369,-1.2434358546328055,0.04577660670130194,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.7464183328356393,0.3102543414018143,1.2665330225757945,0.02483384767504822,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.6744309252398257,0.26719526677712757,1.3357762394288848,0.0448421796009612,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.6758037030509648,0.2234782353275948,1.5964699223781722,0.03008025141897318,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.30890306833205194,0.7298797478623236,-1.2405045894521414,0.04188139748553857,0.1939309562174643,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
