,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glcm_SumAverage,0.36831985329243366,0.7493215654435005,-1.0246258088378457,0.07466080561530063,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6883065974122218,0.35387607739201526,0.9598071017479981,0.10624593693017866,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.8412858625579247,0.4648895697992884,0.8557080425169986,0.11159018788086973,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.628859802513215,0.24767935126365698,1.3442648218984703,0.07429628468011468,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.6923561765478494,0.2175199186282697,1.6703668938320082,0.020972855847791308,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.35924416065877907,0.7377088404519938,-1.0380868179672391,0.0835490129970904,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.27086146286134927,0.7310742222820977,-1.432462736193872,0.03081378164460694,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.17603686635953864,0.5525394130486803,-1.6501997810964109,0.12238158135929418,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.17603686635942495,0.5525394130487257,-1.6501997810974611,0.12238158135911216,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.7316308924339677,0.31458734280509715,1.2176553667024588,0.035538120086244455,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.3922259282524667,0.7585713139603151,-0.9515999072677644,0.08804706605615095,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.5981746075150367,0.23324562440348942,1.358716652480753,0.08874230136027897,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5882775700643981,0.22483621466188808,1.3876225989620712,0.0895986963071077,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.3828839099215795,0.7505780227458437,-0.971095013567873,0.0874913202085806,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.17603686635944701,0.5525394130487509,-1.650199781097346,0.12238158135912944,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.1760368663594818,0.5525394130487712,-1.650199781097114,0.12238158135908773,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.823963133640575,0.4474605869513198,0.8808191756670295,0.1223815813591878,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.030404731793085782,0.451784808268315,-3.8932679910726575,0.11785613960366588,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.39694656488549107,0.7625954198473224,-0.9419730547639714,0.08837018728400743,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.8239788079098389,0.44747622229338047,0.8807962094951278,0.1223799720572404,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.6187298059311388,0.24452964540758515,1.3393001541833844,0.04589805361146838,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.6030534351145072,0.23740458015267904,1.3449380729338263,0.08837018728401146,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.17588014925243556,0.5523830585225141,-1.6510764111681004,0.12236551003365978,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.3683198532924301,0.7493215654434919,-1.0246258088378433,0.07466080561531205,0.40283937197434333,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.26493892834732957,0.5804012434003638,-1.1313907709048492,0.14433500281380637,0.4560986088916281,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.41260074168111593,0.6872827427925777,-0.736157320135927,0.15413267961848112,0.4683262188407696,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.09223303586095064,0.41047545894157283,-2.15394048008929,0.16788249495340385,0.49121174449329275,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.6419975027590681,0.3617244307143693,0.8276766452710145,0.23388777231213811,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.9116103633350021,0.6674691102045085,0.44971625361108797,0.24543156786815667,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.6318288543828459,0.3575417192412601,0.8214222331294615,0.2830144901178809,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.3920141347699586,0.7092725277361852,-0.8554343945201192,0.19652234866476287,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.6427899314848702,0.3617457546007756,0.8293712455607801,0.2310276938551623,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.7234757598563242,0.44171138136206733,0.7118406738156839,0.1974507230419564,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.6381874770827718,0.4171037397027654,0.6135740521047481,0.2876913240286826,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.7015415110285959,0.411579004241187,0.7693590839866246,0.1985453576322185,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.382279466736442,0.6366830957449793,-0.7359477492514599,0.3345020358213173,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.5565771703701401,0.29385838467214853,0.921460670169213,0.3098348536902388,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.6289090399656725,0.3616847464013859,0.7981186176680392,0.28005698445620647,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Contrast,0.38601313469802534,0.6383673168250141,-0.7257368519744424,0.3362224702954009,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.3893802805547857,0.6410766737432937,-0.719317092398001,0.2936330124066807,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.6377205831066473,0.3747576201436857,0.7669666329101128,0.2862332146418196,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.38601313469802534,0.6383673168250141,-0.7257368519744424,0.3362224702954009,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.38601313469802534,0.6383673168250141,-0.7257368519744424,0.3362224702954009,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.37324438401178295,0.6747247953315757,-0.8541786269919986,0.20780674904709143,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.4825542851011161,0.26074343907770337,0.8880602963790368,0.30196391993740823,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.6139868653019391,0.3616326831749575,0.7636827234214132,0.3362224702954378,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.6139868653021097,0.3616326831750939,0.7636827234212697,0.33622247029527463,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.6139868653019533,0.36163268317501435,0.7636827234212198,0.3362224702954958,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.6139868653019533,0.36163268317501435,0.7636827234212198,0.3362224702954958,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.0716823299087842,0.3672619936725738,-2.3571201700838404,0.231585779073642,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.3816860465116214,0.6360465116278874,-0.7367458218996499,0.3357348625342111,0.5208151990851797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.5895085122802142,0.4017004397570439,0.5533926045683812,0.36326862854675784,0.5413906304051205,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.27670587456030526,0.5189619088457139,-0.9072753772777317,0.3700644815427405,0.5413906304051205,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.27670587456030304,0.5189619088457118,-0.9072753772777374,0.3700644815427406,0.5413906304051205,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.5810371003477744,0.3843930941691169,0.5960478679084763,0.38244170216148876,0.5471050234439657,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
