,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glcm_Imc1,0.3798208602206752,0.8337278131507084,-1.1342573221346484,0.0290183730625261,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.2837700365419986,0.6780708394395346,-1.256713740163279,0.02218981370325721,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.6391694508125254,0.1474105527272716,2.1163586493056763,0.02520775040355789,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.3880836645841774,0.883291157666432,-1.1865213614804198,0.028103144566943176,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.6227839041354915,0.1270330241155237,2.293528062719023,0.026641735871493297,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.3880836645841774,0.883291157666432,-1.1865213614804198,0.028103144566943176,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.3838717599110524,0.8348293885189093,-1.1208569585073986,0.02955862488799653,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.38306940697884606,0.8314652018224507,-1.1180500730307643,0.03047896516458463,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.6119163354158204,0.11670884233356701,2.3904205435669588,0.028103144566942826,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.6119163354158204,0.11670884233356701,2.3904205435669588,0.028103144566942826,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.6119163354158346,0.1167088423335656,2.39042054356701,0.02810314456693805,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.6119163354158186,0.11670884233355991,2.3904205435670423,0.028103144566943655,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6193793858794523,0.1962709790317035,1.657976499009042,0.02845746073863497,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.3880836645841774,0.883291157666432,-1.1865213614804198,0.028103144566943176,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.7444644399188274,0.34505430687188865,1.1093794982863663,0.02082149626667441,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.38923522137463795,0.8835635134183374,-1.1826915805442446,0.028658275690379775,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.7444644399188274,0.34505430687189004,1.1093794982863605,0.02082149626667509,0.07663282669952708,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
