,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_InterquartileRange,0.7173146213953109,0.20099041514616256,1.8354793346313916,0.011235883774998205,0.6759867233210015,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.7032443657861497,0.20114873154765198,1.8057634487861767,0.015363334620931854,0.6759867233210015,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_10Percentile,0.3925181211938762,0.2969347219227398,0.4026134556863098,0.6731733753267497,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8039017229130917,0.7127428433071932,0.1736374944832163,0.6695848541260767,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.08298055491244331,0.30834288605721855,-1.8936903514854855,0.2946591687951471,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.4013133371983928,0.8087150916822072,-1.010902431018973,0.06910614720066284,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.34319471493728365,0.1564729531752941,1.1331140315832493,0.4251378445328712,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.5563101521266689,0.7750512263272276,-0.47840223356204326,0.3559402563693884,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.5048227845328597,0.8077212523901999,-0.6780804734487963,0.1840820068880562,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.4998111953645328,0.7578469172660789,-0.600523240905277,0.27534387468299026,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.5321216891664353,0.25121147065039223,1.0828538675501875,0.26990267885552754,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.8826299768074157,0.7454803503813385,0.2436384204972085,0.5504902321879173,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.4860595371927714,0.16481884531059737,1.560251830621587,0.08617496958690188,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.34102589965887,0.13721800113107957,1.3134115549283738,0.375632809869856,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.04341342653803504,0.22100302521470874,-2.3478529168447575,0.44966786836202455,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.4055044347559794,0.6527764137080694,-0.6868712379989542,0.16179016001822535,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.0338889665781375,0.23450040627669383,-2.7907028736771475,0.3867798163338608,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.5158802123447919,0.7281952886138334,-0.49728929665753735,0.39065016445493334,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.4475947268534355,0.5895699112844863,-0.3974698584158812,0.5955119951542083,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.09988081838045418,0.24942923973331835,-1.3203510500174152,0.5168303860535095,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.34043183583460757,0.47690994083087207,-0.4863508964954347,0.5886322387160544,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.2742005554234562,0.5259684293114621,-0.939744712442285,0.26608129837349326,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.203176195695832,0.4671772761178593,-1.2012387174918007,0.20727428818769453,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.7828092747890136,0.5565116666744261,0.4922489167867373,0.24541318524188716,0.8244485617405128,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
