,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_InterquartileRange,0.8293253613957511,0.2519405905560177,1.71885463598307,0.0015095034119257623,0.024152054590812197,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.8389276641615045,0.31685479217571205,1.4047245855432666,0.005479392065136398,0.04383513652109118,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.1729708319105545,0.6865995621751362,-1.988940160773549,0.024829051559397162,0.07945296499007092,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.6328614269387072,0.2092487199127669,1.5966708407395587,0.022600667411854514,0.07945296499007092,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.21027589206258246,0.720645937035953,-1.7770071623190735,0.018793769492653233,0.07945296499007092,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.6935009241171564,0.3334988193663392,1.056216150926331,0.04117949217102706,0.10981197912273882,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.5639574810402108,0.2473027715258979,1.1893079881799669,0.08392612008451791,0.19183113162175522,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.39349919998449645,0.6973915029001088,-0.825608083635304,0.3307997556442462,0.5357744571623871,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.5682167764036545,0.7858996955329307,-0.46790376567390496,0.33485903572649195,0.5357744571623871,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.4810419749114969,0.2832455098656661,0.7641097006433832,0.3133191983532831,0.5357744571623871,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.09591729930729942,0.29266509621293507,-1.6093877542605437,0.37776464631219764,0.5417447051283776,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.4560222675561971,0.31266940239414664,0.5444662278162173,0.5030305730784473,0.5417447051283776,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.4539227418267897,0.6541788274874698,-0.5272382972653418,0.46312403602255503,0.5417447051283776,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.46012643726030156,0.31837082969635305,0.5313221941246014,0.5078856610578539,0.5417447051283776,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.45602226755619757,0.312669402394147,0.5444662278162171,0.5030305730784477,0.5417447051283776,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.4551811496017324,0.32264527197566367,0.49649192814007576,0.5467882146975188,0.5467882146975188,l_hippocampus,male_P45_nrxn,male_P45_control
