,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.26850202379637644,0.5482042528506459,-1.0297805579614683,0.20549839040998963,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.29200310471338975,0.5733677642467853,-0.9734770873886901,0.20398476358039241,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.6698413518693431,0.3766080365397963,0.8307556555415688,0.17886035413946114,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.7575491906781835,0.47195650554402563,0.6826856613821433,0.21958687061457216,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.24094088002455294,0.5260049684242404,-1.1263972327497815,0.22043975943544886,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.6713792747060736,0.37905426166451067,0.8247236169695257,0.17976987809043354,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.7523854992042072,0.47685526119727084,0.6579206092330593,0.24961528239271585,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.5655646825762233,0.861365868732537,-0.6069341265282293,0.24106500577617926,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceVariance,0.2958319505318272,0.5776027246028917,-0.9652996723225808,0.2036939061981438,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.5867190214122715,0.28730565309149936,1.0300833849493565,0.21672996714595325,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.7213245056693767,0.3861706074649625,0.9014100766725878,0.19347887273737102,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.4132809785877498,0.7126943469085176,-0.7861605162960055,0.21672996714595982,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.5655847845004769,0.3016840613999506,0.9067048310352129,0.18101080810254785,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.5976983913089846,0.3422103030446692,0.8045344635865255,0.2418874085414718,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformity,0.3540812538334901,0.6825491493688872,-0.9468524711658458,0.10574974328954348,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.35408125383348743,0.6825491493688858,-0.9468524711658538,0.10574974328954194,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.5910019996316267,0.2772680231155942,1.091881769487795,0.13309615926155227,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.6374146027344105,0.3218307899735059,0.9859297134653392,0.09923645930727021,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceEntropy,0.29542012193288514,0.576382036419733,-0.9642572773857346,0.20436941526721042,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.4344353174255957,0.13863413127073726,1.6478589038080695,0.2410650057781463,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.7054154514985692,0.37495989668224217,0.9117368746586209,0.17528563302875294,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Minimum,0.6106989001788188,0.874018509396713,-0.5172025855065499,0.24830885443858966,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Median,0.6556483753390647,0.33213404264195223,0.9811567020353682,0.14403791945573582,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Mean,0.6725273400143066,0.38566218210230996,0.802255235493732,0.21921289929787185,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.7521888599337404,0.45066243302144776,0.7390477471554752,0.16486632197359172,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.6903577888047836,0.3565353594685418,0.9532990918087572,0.17195191876601743,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.6903476095839898,0.35655291516307863,0.9532067832088347,0.17199366541651187,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.8503515203503067,0.46714471820402625,0.8641897931592307,0.09590877309037002,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.8297410348331311,0.4583706441309584,0.8561464852328701,0.10323357194495503,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.6903476095839896,0.35655291516307835,0.9532067832088353,0.17199366541651184,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.7660647601363079,0.42407684927899136,0.8531406300177254,0.132040262719086,0.7005332118763316,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterShade,0.417726611398461,0.600449009174836,-0.523482682052697,0.41829928647127024,0.727656643861221,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.6990931599899852,0.43744127430427965,0.6763953687911527,0.2987847038499297,0.727656643861221,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.5930000000000053,0.3800000000000011,0.6420326862150645,0.3640114085303103,0.727656643861221,l_hippocampus,male_P45_nrxn,male_P45_control
