,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.37377269053746554,0.6682086470489625,-0.8381374888504484,0.11113248354384814,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.44388365685208164,0.7206269825624076,-0.6990710801427109,0.30215549949442005,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.3218345990182776,0.6378174254257629,-0.9868240809512839,0.15354511285066447,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.3338758691318162,0.60253082109773,-0.8517232145940334,0.25745023451297416,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.6531460386358674,0.39252134997859683,0.7346344767577566,0.2748108791461531,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.2862893133116229,0.6229773480259473,-1.1217058885981714,0.09437437597644101,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.34499376610085797,0.5928551667469207,-0.7811094072882168,0.3160441477784797,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.3218345990182705,0.6378174254257629,-0.9868240809513157,0.1535451128506571,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.6522715791716429,0.34468662215857365,0.9201874621892859,0.1988956641465037,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.4284685683197651,0.7048997699644388,-0.7182287598790215,0.29516065033238104,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.13845754839025304,0.35720110604544286,-1.3672928393617085,0.3186561584826275,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.7198897946004084,0.4309689560917107,0.7401921146748496,0.3211350826115871,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.861542451609747,0.6427988939545599,0.4225544388902503,0.31865615848263407,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.36495813421790846,0.6166730714370565,-0.7567748725598471,0.2897006431837235,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.28963124924096806,0.6273661405990516,-1.1150904001988122,0.09530455845535465,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.44572436695723994,0.7229555832295474,-0.6977551812750138,0.3050317336672264,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.30596654728321404,0.6930220241481045,-1.1795272766305898,0.09595145565551726,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.1794871794871793,0.5760683760683758,-1.6823592635157367,0.06735302528585116,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.7495659713202997,0.48865393374888744,0.617242353598739,0.2844867332460457,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.7508321615939639,0.46618150382002926,0.6875986834052685,0.22634789222738402,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.22777777777777775,0.5037037037037038,-1.1449483359111,0.2581221392321363,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.15000000000000022,0.44000000000000006,-1.5525410230287766,0.23691151988974118,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.8321419348299894,0.5425530868424955,0.617065316655746,0.24111408742368387,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.07295487604352502,0.3844327093346692,-2.3976547815167137,0.16783807964780584,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.9270451239565034,0.6155672906653991,0.5907229904280205,0.16783807964788766,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.27246543778801957,0.5691244239631352,-1.0626708582452804,0.16099530525106273,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.8155330050851051,0.40877580377107775,0.9964334619101085,0.10845223251398241,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7275345622119795,0.4308755760368655,0.7557444638999145,0.16099530525106467,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.2973758244675544,0.5925220854996581,-0.9945815631232682,0.20471308725692053,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.2901263369665905,0.6061332452945976,-1.0629537080439957,0.19303601441140275,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.6310040468585616,0.3872594896744349,0.704348665520437,0.30409389553380634,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.18767576726364021,0.5713524339017131,-1.6061385532727481,0.1352757149331025,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.5561163431478917,0.27937301743760373,0.9931940474001694,0.30215549949444875,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.5561163431479343,0.2793730174376094,0.9931940474002509,0.3021554994944262,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.09125734090032014,0.4641490552298585,-2.346575660303328,0.09161606985832287,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.6152152014721108,0.3285016860839132,0.9051903761584784,0.27389985481489126,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.07295487604346818,0.3844327093347147,-2.3976547815180083,0.1678380796476544,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.16904283974218934,0.47263823800586435,-1.4833474445112442,0.15094257984707424,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.6147455259301735,0.32463996678960494,0.9211487074172364,0.26547133349088115,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.361965153378641,0.657565087291178,-0.8612828879152566,0.18397652316688756,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.6580264201146365,0.368132289952657,0.8379212118597344,0.1721800721459885,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.7044765929665628,0.3814452888615893,0.8850756276709358,0.12391318011684563,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.6300343831130689,0.3482504447161109,0.8553053683718329,0.28460348664829177,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.5544902806730345,0.2766982963747225,1.0028484111402571,0.2983248462614588,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.6996521086625187,0.3667693397860703,0.931764700879683,0.13555432686091556,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.6152152014721106,0.3285016860839132,0.9051903761584779,0.2738998548148921,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.5540896113741987,0.27793958958423415,0.9953479722291626,0.2995968271470101,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.44388365685208164,0.7206269825624076,-0.6990710801427109,0.30215549949442005,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.5551586551476985,0.27843963583994746,0.9955355355077266,0.3005278013065236,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.44388365685208164,0.7206269825624076,-0.6990710801427109,0.30215549949442005,0.5046408441039225,l_hippocampus,male_P45_nrxn,male_P45_control
