,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.23844615889150966,0.5306654625018516,-1.1541391136754893,0.23567399306507442,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.3946476973791846,0.6428937337519983,-0.7040149572722982,0.30106780664397986,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.38529628414062245,0.6808118418546656,-0.8212878586030447,0.13475918754848368,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.7049318358685923,0.4146208002741332,0.7656912674101632,0.13576831411393356,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.2950681641314148,0.5853791997258554,-0.9883232113033055,0.13576831411394405,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.5833333333333334,0.2666666666666667,1.1292830169449661,0.26466713075022463,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.4162689448615404,0.732365107065266,-0.8150471244208606,0.2654251747537794,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.4089201806125746,0.7136495813337196,-0.8033965880091823,0.28098270952208815,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.40943174501925106,0.726402226236107,-0.8271456590223512,0.24973064597172606,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.25,0.0,inf,0.29235199244023835,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.5833333333479344,0.266666666679643,1.129283016910874,0.26466713071430487,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.542481250360578,0.23398500028846247,1.2131572267508335,0.2446629814634836,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.5000000000000002,0.20000000000000018,1.3219280948873617,0.22745281805976322,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.6362706846688297,0.3216660677308937,0.9840768974600843,0.2109914032569793,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.36372931533105657,0.6783339322689699,-0.8991304557525109,0.2109914032570074,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.6724806201550315,0.3627906976744015,0.8903552278822713,0.21589488179341498,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.3275193798449685,0.63720930232559,-0.9601870525121239,0.21589488179342492,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.5609590862223968,0.2663393671650368,1.0746298645363703,0.12433664406551638,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.6507460080331668,0.40432288754501544,0.6865866838207728,0.304556094669892,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.6507460080331597,0.4043228875450211,0.6865866838207368,0.3045560946699169,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.6147037158571038,0.31918815814315166,0.9454840774504195,0.13475918754905508,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5832421297463997,0.23038580638976355,1.3400430967000747,0.06857067896827931,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.8215657948969481,0.46929480660676204,0.8078816226362688,0.13344369913237286,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.2818534939104763,0.5887384547312016,-1.062681411972147,0.22480087493841008,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.636270684669114,0.32166606773112105,0.9840768974597089,0.2109914032566128,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.7362745006922894,0.314891066335451,1.2253909098325624,0.0637112438341525,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.7307491645309352,0.30455190217919853,1.262688159315324,0.04861939195396122,0.7911471358158337,l_hippocampus,male_P45_nrxn,male_P45_control
