,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_gldm_SmallDependenceEmphasis,0.07277452660414596,0.776104935271853,-3.414746274100619,0.00012533821646480508,0.011029763048902847,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.1388899777211967,0.7413720846025708,-2.416255294953055,0.0017885210361972635,0.05246328372845307,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Median,0.16202378915722218,0.7619621216982291,-2.233513628436074,0.0016841041674217454,0.05246328372845307,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.7539184309000948,0.17380603303580813,2.1169302807991537,0.003209036230923601,0.07059879708031923,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.3400697852086587,0.806814988137819,-1.2464070550098967,0.011163566066055997,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.33950003257916705,0.8697335229260716,-1.3571617293782092,0.010985703417449023,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.6599302147913448,0.19318501186218384,1.7723303048814274,0.011163566066055768,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.3394666760934797,0.8697115384615017,-1.3572670158990818,0.01098351464506292,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.6605333239064919,0.13028846153849827,2.3419220240604237,0.010983514645077486,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.6605333239066624,0.1302884615387029,2.34192202405853,0.01098351464506542,0.09823938138129278,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Mean,0.17935502498700617,0.7044241880903335,-1.9736262825798714,0.012358573058565706,0.09886858446852564,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_HighGrayLevelEmphasis,0.1769911504424737,0.6690265486725651,-1.9183862344463791,0.018609565612295733,0.10417880027427713,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.823008849557521,0.3309734513274364,1.314192446107743,0.01860956561229743,0.10417880027427713,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.2483060951861651,0.6690085820056979,-1.429905041918805,0.01894160004986857,0.10417880027427713,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Kurtosis,0.16875748519833578,0.6957535776122752,-2.043624928032186,0.0178501358003682,0.10417880027427713,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.2310303143907788,0.7615741408417989,-1.720902327222653,0.015459322102213272,0.10417880027427713,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.2700583179717615,0.7415323990730229,-1.4572387434460425,0.022016318655689003,0.11396682598239014,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.1380092200194838,0.6121150241287353,-2.14903812623311,0.03335628168699267,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.3763895721176391,0.8279518724973215,-1.1373202499150021,0.03361141685218367,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.9398786980616478,0.4638302449857292,1.0188776758621736,0.03563868215228333,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointAverage,0.1380092200194838,0.6121150241287324,-2.1490381262331035,0.033356281686994504,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_10Percentile,0.25085737277034703,0.6722013316524041,-1.4220260607263377,0.0286717435638584,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.060121301938124816,0.5361697550142708,-3.1567416835924202,0.035638682152232634,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterShade,0.8670561129751607,0.38666118235767477,1.1650554260465025,0.027659817243682095,0.13067516789170555,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.9009892337557219,0.3552164351768937,1.3428115329207697,0.040523709504887505,0.142643457457204,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.13862398586898816,0.5732433744785184,-2.047970869190682,0.042823687882828074,0.14494171283418733,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.8056859669644711,0.32642955675991486,1.3034459346942224,0.05500356726443187,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.8040407163318221,0.40506487859768275,0.9891155601345871,0.05379729826824279,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Autocorrelation,0.16789428467611245,0.6075537706528849,-1.855458977939548,0.04982201944105798,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.40476190476190466,0.8503401360544217,-1.0709665213541437,0.04780349646017963,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.3621504139167163,0.7966573501737753,-1.1373703166854554,0.05240797011816654,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.8325263243964267,0.4280761395691613,0.9596284670222028,0.05550314987187613,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.5952380952380953,0.14965986394557823,1.991779493195032,0.04780349646017963,0.14800839965833634,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.8088888888888888,0.29478458049886613,1.4562804815107253,0.060174251891393686,0.1512952618983613,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.19111111111111123,0.7052154195011339,-1.8836523610880205,0.060174251891393686,0.1512952618983613,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.25181746126231985,0.702550234862543,-1.4802230625216002,0.06997380856218571,0.17104708759645396,l_hippocampus,male_P45_nrxn,male_P45_control
