,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.061768877348868045,0.6261636478802757,-3.3415877397931784,0.008337767433281075,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.8619565217391312,0.2969565217391306,1.5373633823012507,0.006193996268621394,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.13804347826086882,0.7030434782608694,-2.3484911818141407,0.006193996268621394,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.6834804429402794,0.16935750806720762,2.012828110506082,0.006100318435817413,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.3165195570597099,0.8306424919327867,-1.3919330320201686,0.00610031843581676,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.938231122651132,0.37383635211981525,1.3275364935433167,0.008337767433286304,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.09430818353482273,0.6568840863160915,-2.800183944796606,0.012066178468066948,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.09430818353483694,0.6568840863161043,-2.8001839447964163,0.01206617846806648,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.9042536822566107,0.32038707037748015,1.4969116406120884,0.00939195677830467,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.1404964427392228,0.6985679423230792,-2.3138668351715976,0.009824796398544316,0.10618237051898916,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.1157759102070357,0.6176933205789655,-2.4155556309402555,0.017865639278853034,0.13101468804492225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.12254591308736247,0.6361868444970529,-2.3761281681079254,0.016570799488285975,0.13101468804492225,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.33375991413341355,0.7692198731610163,-1.2045853440638983,0.034990046586263035,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.9787826420891292,0.5129017487888519,0.9323060262917845,0.046776402365487135,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.021217357910941814,0.4870982512111823,-4.520895882482653,0.04677640236549485,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.021217357910927603,0.48709825121120504,-4.5208958824836865,0.04677640236547699,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.2688049423235809,0.6861933631045034,-1.3520555079876497,0.032202741277524045,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.7111250667489237,0.3239854037260767,1.1341744934318179,0.040233218926942156,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.9787898106212083,0.5129494453341976,0.9321824373752456,0.04679064772157769,0.2167145789209914,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.9666216554391838,0.5510418608787176,0.8107893962805625,0.06558833078331963,0.2885886554466064,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.2011969007783967,0.6284019961325391,-1.6430796812403838,0.0876712081331763,0.36738411027235784,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.786044498283379,0.40508827095053485,0.9563746729240957,0.1078034139448208,0.39527918446434296,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.7592625289422683,0.40442189700765996,0.9087376975726602,0.10636686708861383,0.39527918446434296,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.762490842862191,0.4002112174202283,0.9299584068639667,0.1019862291393866,0.39527918446434296,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.38892990283729834,0.7368834746512292,-0.9219263396399555,0.12858704775151186,0.43521770008204014,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.7388905409329521,0.4008890146817544,0.8821577749695515,0.12512522679388466,0.43521770008204014,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.32268277801680245,0.6217125674317906,-0.9461311606765953,0.18524240627552738,0.6037530278609781,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.368257527555246,0.6540612271353581,-0.8287106780467821,0.22355444071461283,0.7025996708173546,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.31311619456499695,0.5776732003621058,-0.8835554386716294,0.24634660618208726,0.7475345291042648,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.42454409264167037,0.6854078937740145,-0.6910484091858167,0.2987970839035493,0.8764714461170781,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.38843426264789827,0.6111095494048883,-0.6537605629714275,0.3227149774153089,0.9160941294370059,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.4448163042420372,0.5661041140666342,-0.3478577388447378,0.7089534804314565,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.36986301369863017,0.41297788969021865,-0.15907350548804824,0.8872057108158209,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.39105902777777773,0.2955129731395133,0.4041649225674276,0.7039600776682076,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.6543580604107013,0.5112416061188313,0.3560750338018876,0.5188291866306154,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.6089409722222223,0.7044870268604868,-0.21027075246305027,0.7039600776682075,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.38705583105866775,0.4119872965382614,-0.09005816954036912,0.9149121563432325,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.4895833333333333,0.5312631812631811,-0.11787228569547822,0.8674180080095277,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.4236439433306576,0.38634102773245943,0.13297734994502436,0.8729825191384898,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.44307215210107465,0.36862825872402205,0.26537498267490595,0.7513617549511209,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.5960982147442886,0.4535923742471198,0.39415366655605766,0.5883881798151682,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.3458872050946037,0.3708258369197341,-0.10044011863542573,0.9167406496433266,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.2234375,0.40780824114157455,-0.8680195933920759,0.3787661556209796,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.45503532676291547,0.6255384413794566,-0.45911999184469304,0.5773690309590633,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.3584302222222222,0.5328317636115154,-0.5719878000145312,0.4173820929177501,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.4605204818964741,0.5992132420941141,-0.3798041840783778,0.5698889541996339,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.5367767175558349,0.5997709851547015,-0.16008963464098963,0.8319737795075112,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.5960982147442881,0.4535923742471205,0.3941536665560542,0.5883881798151709,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.6259272422840695,0.6029696754045203,0.053909520361816336,0.9265989849010339,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.411827841013959,0.46057545444347153,-0.16139616275365315,0.8324412150586419,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.375,0.4999999999999999,-0.41503749927884337,0.5869633788493249,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.5367818848502632,0.44831515493493945,0.2598227153677828,0.7086791246692341,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.5104166666666667,0.46873681873681877,0.12289731698105813,0.8674180080095272,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.49311468769609057,0.6842642706712937,-0.47263039307005944,0.45201836568380993,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.5064199763560229,0.5859394934411448,-0.2104173788637438,0.7717255073231265,0.9824182008589274,l_hippocampus,male_P45_nrxn,male_P45_control
