,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.35484538115316955,0.568795676587861,-0.6807199714686207,0.2537311864748275,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.3322931590799171,0.5478905589680816,-0.721431151342366,0.254693462433663,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.36946550925159816,0.5908893112550551,-0.6774482112639989,0.2390827039069206,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.39241181698023775,0.6105445474741845,-0.6377280760212359,0.2495150482810136,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.7755723567510207,0.5283618548458217,0.5537350684836322,0.21468484793980164,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.23914509139964601,0.5223283563444328,-1.1270708479455498,0.13401612488260792,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.1903690873812168,0.4270932513921776,-1.1657518726154976,0.22619523613943923,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.20033644912243084,0.4357240880001899,-1.1209899432110222,0.22613912093347752,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.13999966969882321,0.38368936378184915,-1.45451534925197,0.22873860120454978,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.7462875887363174,0.4664814990991809,0.6779118291659539,0.13248994853084614,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.15653156905955523,0.4956751306446868,-1.6629412295880341,0.072543956441124,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.6749281553007862,0.43016890321930273,0.6498307019086977,0.18511349394895088,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.7198919072469204,0.47084113110610304,0.6125399452917142,0.18206028442285116,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.7068885160328109,0.4696495152870992,0.5898981841264651,0.20523919583158748,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.3924118169802373,0.6105445474741839,-0.6377280760212359,0.2495150482810139,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.19977588283733289,0.4472553075738116,-1.16271617290313,0.20186789700934238,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7580179006955394,0.3946782016256181,0.941555077940235,0.05283442725861994,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.15320201353282797,0.6030776279514172,-1.9769084585866339,0.055220434236957924,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.2733411848815591,0.5670531512779463,-1.0527811187541707,0.2255854720573829,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.34292878975790286,0.715336793182494,-1.06071362078567,0.11321411933506767,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.7071330680899045,0.49094752917470463,0.5264128841327272,0.25157266023329966,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.16256630420504317,0.3944359508131446,-1.2787627969698006,0.24387154341995135,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.162566304205043,0.3944359508131445,-1.2787627969698017,0.24387154341995118,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.35872612643162727,0.5800287364055519,-0.6932415553134031,0.23831532563278934,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.6410332401812335,0.42093392816291536,0.6068053697600007,0.2408329378145075,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.38782331625640376,0.619292765213045,-0.6752220500405471,0.21610643369288665,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.2977609266778122,0.5277211777952167,-0.8256214305805519,0.22346899527620118,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.3401534341170812,0.5636041055822953,-0.7284964666916391,0.23550257335385738,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.6066316895508823,0.37776988938901274,0.6833131496699277,0.22136044524590814,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.808250125512832,0.5136151599392456,0.6541140405030289,0.13444983581425515,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.7064144840136584,0.4695881910696113,0.589118794828526,0.20611286678996754,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.21173257683790947,0.47498261848623163,-1.1656314632373468,0.16769575025619157,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.25491852068683485,0.756935103732458,-1.5701334214130183,0.019794529178846682,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.6631238690816825,0.4492093255574023,0.5618905072910229,0.2555671194622319,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.5979279782078628,0.14243624157974805,2.0696554455958736,0.017824384400650962,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.6593137876954895,0.17023340919061533,1.9534510503836382,0.00919166753035162,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.18108948085345522,0.6106672587749861,-1.7536837511645946,0.05059421958791485,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.3587261264316277,0.5800287364055521,-0.6932415553134018,0.2383153256327905,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.38121255621898076,0.601878331309949,-0.6588762391741847,0.24255406098518273,0.478508649205881,l_hippocampus,male_P45_nrxn,male_P45_control
