,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_InterquartileRange,0.712169908175723,0.2538485465800987,1.4882534778802166,0.019842341168558,0.158738729348464,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.6561526149183508,0.19976912548144754,1.7156977807576084,0.019356515067970943,0.158738729348464,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_10Percentile,0.38088938909615,0.06537127155439464,2.542643432717717,0.15570512429488953,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.44907534125383686,0.11488328349856296,1.9667886170721287,0.13735300473840795,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.38961206655478464,0.07368637492393651,2.4025685737048033,0.15828838054094294,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.0738798878211116,0.43407599893188953,-2.5546940739902526,0.07378641146969298,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.5752521513354678,0.18119125681652545,1.6666811324571817,0.05614383281327476,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.40262062600328574,0.08677208812825787,2.214118130067806,0.15921595943348218,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.37911999953381437,0.04423303292103649,3.0994584924714568,0.14700517603340268,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.6574994324645262,0.23761397082306074,1.4683699853432406,0.09556584475161725,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.40617495582352037,0.08845667715877861,2.1990583337492877,0.15619681913619674,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.3835418470971164,0.7073510351570762,-0.883042360624832,0.13836961374433784,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.3896120665547847,0.07368637492393666,2.4025685737048006,0.15828838054094313,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.4608917139880715,0.11615051171055102,1.9884323207496981,0.11628008229534861,0.1819610964954082,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.3703476286621463,0.5704158423155914,-0.6231339510558341,0.41393835282744995,0.4415342430159466,r_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.5147176088830125,0.4030945893454726,0.3526627207647311,0.5604003929254678,0.5604003929254678,r_amygdala,male_P45_nrxn,male_P45_control
