,binWidth_1_NDI_male_P45_nrxn,binWidth_1_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.28686172872876575,0.6224651210412292,-1.1176374943264435,0.14712740004369398,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.9957573743448473,0.7973656962334486,0.3205527189393823,0.4092161674689786,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,1.0,0.8,0.32192809488736235,0.40708382206558924,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,1.0,0.8,0.32192809488736235,0.40708382206558924,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.0,0.2,-inf,0.407083822065589,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.0,0.19999999999999996,-inf,0.4070838220655887,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.20616878833328833,0.6209319182362677,-1.5906091523376436,0.09782437836804257,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.23409772347926427,0.486426927001051,-1.0551121890633892,0.3362285209068512,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.3237179487179489,0.5878205128205124,-0.8606383459558955,0.2954470132061829,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.2996944265072967,0.5368773393567438,-0.8411002586385655,0.3360972527575252,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.3389249440634452,0.5662261343387168,-0.7404125191808709,0.3496268075004229,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.6891687457938627,0.3921470228898073,0.8134626282041074,0.22858675743051096,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.746396378879548,0.36793703183944226,1.0204831001494623,0.07832944203032277,0.5985572848871347,r_amygdala,male_P45_nrxn,male_P45_control
